Data.GamePatchID,Data.ID,Data.Icon,Data.Name,Data.Name_cn,Data.Name_de,Data.Name_en,Data.Name_fr,Data.Name_ja,Data.Name_kr,Data.Url,Text
17,10064,/i/033000/033870.png,Sasuke's Blades Zeta,,Zeta-Sasuke,Sasuke's Blades Zeta,Sasuke zêta,佐助の刀【絶】,,/Item/10064,Two of the true weapons wielded by the legendary Zodiac Braves.
17,10079,/i/026000/026038.png,Fenrir Horn,,Fenrir-Horn,Fenrir Horn,Cor Fenrir,フェンリルホルン,,/Item/10079,"A gilded horn that, when blown, summons a purebred Abalathian hoarhound mount named after its pack's legendary leader."
17,10083,/i/049000/049092.png,Gambler Barding,,Glücksspieler-Rossharnisch,Gambler Barding,Barde de flambeur,ギャンブラー・バード,,/Item/10083,Chocobo armor designed to replicate the lavish accoutrements of a legendary gambler.
19,12238,/i/026000/026168.png,Tome of Geological Folklore - Coerthas,,Coerthischer Bergbau-Almanach,Tome of Geological Folklore - Coerthas,Légendes géologiques du Coerthas,鉱物伝承録:クルザス,,/Item/12238,Tales gathered from local Coerthan miners regarding the location of legendary ore veins and gem deposits.
19,12239,/i/026000/026168.png,Tome of Geological Folklore - Dravania,,Dravanischer Bergbau-Almanach,Tome of Geological Folklore - Dravania,Légendes géologiques de Dravania,鉱物伝承録:ドラヴァニア,,/Item/12239,Tales gathered from local Dravanian miners regarding the location of legendary ore veins and gem deposits.
19,12266,/i/027000/027666.png,Midgardsormr Card,,Midgardsormr-Karte,Midgardsormr Card,Carte Midgardsormr,カード:ミドガルズオルム,,/Item/12266,A legendary (★★★★★) card used in the game Triple Triad.
19,12271,/i/027000/027666.png,Nidhogg Card,,Nidhogg-Karte,Nidhogg Card,Carte Nidhogg,カード:ニーズヘッグ,,/Item/12271,A legendary (★★★★★) card used in the game Triple Triad.
19,12542,/i/021000/021326.png,Tiger's Eye,,Tigerauge,Tiger's Eye,Œil-de-tigre,タイガーズアイ,,/Item/12542,"A golden-brown jewel consisting of many colored layers. When polished, it resembles the eye of a tiger─a legendary beast believed to be the ancestor of the coeurl."
19,12701,/i/026000/026164.png,Tome of Ichthyological Folklore - Coerthas,,Coerthischer Fischer-Almanach,Tome of Ichthyological Folklore - Coerthas,Légendes ichtyologiques du Coerthas,魚類伝承録:クルザス,,/Item/12701,Tales gathered from local Coerthan fishers regarding the location of legendary fish.
19,12702,/i/026000/026164.png,Tome of Ichthyological Folklore - Dravania,,Dravanischer Fischer-Almanach,Tome of Ichthyological Folklore - Dravania,Légendes ichtyologiques de Dravania,魚類伝承録:ドラヴァニア,,/Item/12702,Tales gathered from local Dravanian fishers regarding the location of legendary fish.
19,12731,/i/029000/029411.png,Cloudfish,,Wolkenfisch,Cloudfish,Poisson-nuage,クラウドフィッシュ,,/Item/12731,A semi-transparent freshwater fish native to the lakes of legendary Voor Sian Siran.
19,12832,/i/029000/029859.png,Lavalord,,Lavalord,Lavalord,Seigneur du magma,溶岩王,,/Item/12832,A legendary lava-dwelling fish covered in thick armor and rumored to be the guardian of the gate of the Fire Hell.
14,8754,/i/029000/029094.png,Nepto Dragon,,Neptodrache,Nepto Dragon,Dragon de Nepto,ネプトの竜,,/Item/8754,"Believed by Eorzean fisherfolk to be the spawn of Thalaos─legendary creator of seas. It is, however, more likely to be no more than an overgrown little Thalaos."
14,8763,/i/029000/029381.png,Kuno the Killer,,Killerkuno,Kuno the Killer,Kuno le tueur,クノ・ザ・キラー,,/Item/8763,A legendary white catfish rarely seen by even the eldest of fisherfolk.
14,8768,/i/029000/029612.png,Helicoprion,,Helicoprion,Helicoprion,Hélicoprion,ヘリコプリオン,,/Item/8768,"A legendary denizen of the sands, the helicoprion's maw is lined with long curved teeth that help it latch onto its airborne prey."
14,8772,/i/029000/029659.png,Shonisaurus,,Shonisaurus,Shonisaurus,Shonisaurus,ショニサウルス,,/Item/8772,Within this legendary scalekin's body can be found a massive secondary bladder containing lighter-than-air gas.
14,8775,/i/029000/029384.png,Namitaro,,Namitaro,Namitaro,Namitaro,ナミタロ,,/Item/8775,"This legendary freshwater fish cares not for those kings or queens who encroach upon his territory, and will turn to regicide to keep his waters his own."
14,8782,/i/052000/052545.png,Potted Oliphant's Ear,,Topf-Alokasie,Potted Oliphant's Ear,Pot d'alocasias,アロカシアの鉢植,,/Item/8782,A broad-leafed perennial common on south seas islands such as the Cieldalaes. The shape of the leaf is said to resemble the ear of a legendary beast twice as tall as a Roegadyn and ten times as heavy.
15,9491,/i/030000/030515.png,Excalibur,,Exkalibur,Excalibur,Excalibur,エクスカリバー,,/Item/9491,One of the weapons wielded by the legendary Zodiac Braves.
15,9492,/i/031000/031082.png,Kaiser Knuckles,,Kaiserklauen,Kaiser Knuckles,Griffes Kaiser,カイザーナックル,,/Item/9492,One of the weapons wielded by the legendary Zodiac Braves.
15,9493,/i/031000/031488.png,Ragnarok,,Ragnarök,Ragnarok,Ragnarok,ラグナロク,,/Item/9493,One of the weapons wielded by the legendary Zodiac Braves.
15,9494,/i/031000/031887.png,Longinus,,Longinus,Longinus,Longinus,ロンギヌス,,/Item/9494,One of the weapons wielded by the legendary Zodiac Braves.
15,9495,/i/032000/032283.png,Yoichi Bow,,Yoichi,Yoichi Bow,Arc de Yoichi,与一の弓,,/Item/9495,One of the weapons wielded by the legendary Zodiac Braves.
15,9496,/i/032000/032663.png,Nirvana,,Nirvana,Nirvana,Nirvâna,ニルヴァーナ,,/Item/9496,One of the weapons wielded by the legendary Zodiac Braves.
15,9497,/i/033000/033031.png,Lilith Rod,,Lilith,Lilith Rod,Sceptre de Lilith,リリスロッド,,/Item/9497,One of the weapons wielded by the legendary Zodiac Braves.
15,9498,/i/033000/033498.png,Apocalypse,,Apokalypse,Apocalypse,Apocalypse,アポカリプス,,/Item/9498,One of the weapons wielded by the legendary Zodiac Braves.
15,9499,/i/033000/033499.png,Last Resort,,Letzter Trumpf,Last Resort,Dernier recours,ラストリゾート,,/Item/9499,One of the weapons wielded by the legendary Zodiac Braves.
15,9500,/i/030000/030109.png,Aegis Shield,,Aegis,Aegis Shield,Aegis,イージスの盾,,/Item/9500,One of the shields borne by the legendary Zodiac Braves.
15,9501,/i/033000/033870.png,Sasuke's Blades,,Sasuke,Sasuke's Blades,Sasuke,佐助の刀,,/Item/9501,Two of the weapons wielded by the legendary Zodiac Braves.
15,9506,/i/025000/025932.png,Book of Skylight,,Tafel des Sternenhimmels,Book of Skylight,Livre du ciel étoilé,黄道十二文書:星天,,/Item/9506,"A sacred tome depicting the valorous deeds of the Zodiac Braves, legendary heroes from a bygone era. This volume provides detailed descriptions of the mythical arms the men and women wielded."
16,9729,/i/052000/052155.png,Scattered Documents,,Verstreute Dokumente,Scattered Documents,Documents épars,スキャッタードドキュメント,,/Item/9729,"This pile of parchment appears to be pages taken from The Last Paean─a detailed account of the life and times of a legendary bard who traveled the realm bringing joy to all he met. Strewn across one's bureau, the documents give any library or study a heightened air of sophistication."
17,9832,/i/027000/027666.png,Bahamut Card,,Bahamut-Karte,Bahamut Card,Carte Bahamut,カード:バハムート,,/Item/9832,A legendary (★★★★★) card used in the game Triple Triad.
17,9833,/i/027000/027666.png,Hildibrand & Nashu Mhakaracca Card,,Hildibrand & Nashu-Karte,Hildibrand & Nashu Mhakaracca Card,Carte Hildibrand & Nashu Mhakaracca,カード:ヒルディブランド＆ナシュ・マカラッカ,,/Item/9833,A legendary (★★★★★) card used in the game Triple Triad.
17,9834,/i/027000/027666.png,Nanamo Ul Namo Card,,Nanamo-Karte,Nanamo Ul Namo Card,Carte Nanamo,カード:ナナモ・ウル・ナモ,,/Item/9834,A legendary (★★★★★) card used in the game Triple Triad.
17,9835,/i/027000/027666.png,Gaius van Baelsar Card,,Gaius van Baelsar-Karte,Gaius van Baelsar Card,Carte Gaius,カード:ガイウス・ヴァン・バエサル,,/Item/9835,A legendary (★★★★★) card used in the game Triple Triad.
17,9836,/i/027000/027666.png,Merlwyb Bloefhiswyn Card,,Merlwyb-Karte,Merlwyb Bloefhiswyn Card,Carte Merlwyb,カード:メルウィブ・ブルーフィスウィン,,/Item/9836,A legendary (★★★★★) card used in the game Triple Triad.
17,9837,/i/027000/027666.png,Kan-E-Senna Card,,Kan-E-Senna-Karte,Kan-E-Senna Card,Carte Kan-E-Senna,カード:カヌ・エ・センナ,,/Item/9837,A legendary (★★★★★) card used in the game Triple Triad.
17,9838,/i/027000/027666.png,Raubahn Aldynn Card,,Raubahn-Karte,Raubahn Aldynn Card,Carte Raubahn,カード:ラウバーン・アルディン,,/Item/9838,A legendary (★★★★★) card used in the game Triple Triad.
17,9839,/i/027000/027671.png,Warrior of Light Card,,Krieger des Lichts-Karte,Warrior of Light Card,Carte Guerrier de la Lumière,カード:ウォーリア・オブ・ライト,,/Item/9839,A legendary (★★★★★) card used in the game Triple Triad.
17,9840,/i/027000/027671.png,Firion Card,,Firion-Karte,Firion Card,Carte Firion,カード:フリオニール,,/Item/9840,A legendary (★★★★★) card used in the game Triple Triad.
17,9841,/i/027000/027671.png,Onion Knight Card,,Zwiebelritter-Karte,Onion Knight Card,Carte chevalier Oignon,カード:オニオンナイト,,/Item/9841,A legendary (★★★★★) card used in the game Triple Triad.
17,9842,/i/027000/027671.png,Cecil Harvey Card,,Cecil Harvey-Karte,Cecil Harvey Card,Carte Cecil,カード:セシル・ハーヴィ,,/Item/9842,A legendary (★★★★★) card used in the game Triple Triad.
17,9843,/i/027000/027671.png,Bartz Klauser Card,,Bartz Klauser-Karte,Bartz Klauser Card,Carte Bartz,カード:バッツ・クラウザー,,/Item/9843,A legendary (★★★★★) card used in the game Triple Triad.
17,9844,/i/027000/027671.png,Terra Branford Card,,Terra Branford-Karte,Terra Branford Card,Carte Terra,カード:ティナ・ブランフォード,,/Item/9844,A legendary (★★★★★) card used in the game Triple Triad.
17,9845,/i/027000/027671.png,Cloud Strife Card,,Cloud Strife-Karte,Cloud Strife Card,Carte Cloud,カード:クラウド・ストライフ,,/Item/9845,A legendary (★★★★★) card used in the game Triple Triad.
17,9846,/i/027000/027671.png,Squall Leonhart Card,,Squall Leonhart-Karte,Squall Leonhart Card,Carte Squall,カード:スコール・レオンハート,,/Item/9846,A legendary (★★★★★) card used in the game Triple Triad.
17,9847,/i/027000/027671.png,Zidane Tribal Card,,Zidane Tribal-Karte,Zidane Tribal Card,Carte Djidane,カード:ジタン・トライバル,,/Item/9847,A legendary (★★★★★) card used in the game Triple Triad.
17,9848,/i/027000/027671.png,Tidus Card,,Tidus-Karte,Tidus Card,Carte Tidus,カード:ティーダ,,/Item/9848,A legendary (★★★★★) card used in the game Triple Triad.
17,9849,/i/027000/027671.png,Shantotto Card,,Shantotto-Karte,Shantotto Card,Carte Shantotto,カード:シャントット,,/Item/9849,A legendary (★★★★★) card used in the game Triple Triad.
17,9850,/i/027000/027671.png,Vaan Card,,Vaan-Karte,Vaan Card,Carte Vaan,カード:ヴァン,,/Item/9850,A legendary (★★★★★) card used in the game Triple Triad.
17,9851,/i/027000/027671.png,Lightning Card,,Lightning-Karte,Lightning Card,Carte Lightning,カード:ライトニング,,/Item/9851,A legendary (★★★★★) card used in the game Triple Triad.
23,13378,/i/027000/027666.png,Regula van Hydrus Card,,Regula van Hydrus-Karte,Regula van Hydrus Card,Carte Regula van Hydrus,カード:レグラ・ヴァン・ヒュドルス,,/Item/13378,A legendary (★★★★★) card used in the game Triple Triad.
23,13379,/i/027000/027666.png,Archbishop Thordan VII Card,,Papst Thordan-Karte,Archbishop Thordan VII Card,Carte Thordan VII,カード:トールダン7世,,/Item/13379,A legendary (★★★★★) card used in the game Triple Triad.
25,14085,/i/026000/026039.png,White Lanner Whistle,,Weißlanner-Pfeife,White Lanner Whistle,Sifflet faucon des brumes,ホワイトラナーホイッスル,,/Item/14085,This whistle emits a shrill tone that is said to summon a legendary falcon of the mists.
25,14086,/i/026000/026039.png,Rose Lanner Whistle,,Rotlanner-Pfeife,Rose Lanner Whistle,Sifflet faucon des lames,ラースラナーホイッスル,,/Item/14086,This whistle emits a shrill tone that is said to summon a legendary falcon of fury.
25,14087,/i/026000/026039.png,Round Lanner Whistle,,Rundlanner-Pfeife,Round Lanner Whistle,Sifflet faucon de la Table ronde,ラナー・オブ・ラウンドホイッスル,,/Item/14087,This whistle emits a shrill tone that is said to summon a legendary falcon of the heavens.
25,14088,/i/026000/026039.png,Warring Lanner Whistle,,Kriegslanner-Pfeife,Warring Lanner Whistle,Sifflet faucon séphirotique,ウォーリングラナーホイッスル,,/Item/14088,This whistle emits a shrill tone that is said to summon a legendary falcon of catastrophe.
25,14210,/i/027000/027666.png,Cloud of Darkness Card,,Wolke der Dunkelheit-Karte,Cloud of Darkness Card,Carte Nuage de Ténèbres,カード:暗闇の雲,,/Item/14210,A legendary (★★★★★) card used in the game Triple Triad.
25,14884,/i/031000/031107.png,Kettle Knuckles,,Kessel-Schlagringe,Kettle Knuckles,Poings bouilloires,ケトルナックル,,/Item/14884,Weapons crafted using the same metallurgical techniques employed in creating the weapons wielded by the legendary Zodiac Braves.
25,14885,/i/031000/031107.png,Kettle Knuckles Zenith,,Zenit-Kessel-Schlagringe,Kettle Knuckles Zenith,Poings bouilloires zénith,ケトルナックル・ゼニス,,/Item/14885,Weapons crafted and enhanced using the same metallurgical techniques employed in creating the weapons wielded by the legendary Zodiac Braves.
25,14886,/i/031000/031107.png,Kettle Knuckles Nexus,,Nexus-Kessel-Schlagringe,Kettle Knuckles Nexus,Poings bouilloires nexus,ケトルナックル・ネクサス,,/Item/14886,Weapons crafted and enhanced using the same metallurgical techniques employed in creating the weapons wielded by the legendary Zodiac Braves.
28,15204,/i/028000/028683.png,Shogunyan,,Shogunyan,Shogunyan,Shogunyan,ブシニャン,,/Item/15204,"This legendary warrior's armor smells faintly of tuna.



Use item to acquire Shogunyan."
27,15432,/i/026000/026039.png,Dark Lanner Whistle,,Düsterlanner-Pfeife,Dark Lanner Whistle,Sifflet faucon des ombres,ダークラナーホイッスル,,/Item/15432,This whistle emits a shrill tone that is said to summon a legendary falcon of rage.
4,6994,/i/026000/026039.png,Nightmare Whistle,,Albtraum-Pfeife,Nightmare Whistle,Cor d'alicorne de jais,ナイトメアホイッスル,,/Item/6994,This whistle emits a shrill tone that is said to summon a legendary nightmare.
4,7056,/i/049000/049065.png,Starlight Barding,,Sternenlicht-Rossharnisch,Starlight Barding,Barde de la fête des étoiles,スターライト・バード,,/Item/7056,A suit of chocobo armor as worn by those legendary birds said to carry gifts from the stars.
8,7551,/i/049000/049071.png,Barding of Light,,Harnisch des Lichts,Barding of Light,Barde de la Lumière,バード・オブ・ライト,,/Item/7551,A suit of chocobo armor designed to resemble a legendary Warrior of the Light.
11,7917,/i/029000/029374.png,Twitchbeard,,Zupfbart,Twitchbeard,Barbe palpitante,トゥイッチビアード,,/Item/7917,An extremely rare cephalopod rumored to have ties to the legendary pirate king Mistbeard.
11,7976,/i/052000/052520.png,Model Star Globe,,Sternenglobus-Modell,Model Star Globe,Sphère céleste,天球儀,,/Item/7976,A spherical map of the heavens based off of legendary Ishgardian astrologian Adaunel the Younger's lifetime of findings.
27,15872,/i/027000/027666.png,Hraesvelgr Card,,Hraesvelgr-Karte,Hraesvelgr Card,Carte Hraesvelgr,カード:フレースヴェルグ,,/Item/15872,A legendary (★★★★★) card used in the game Triple Triad.
31,15986,/i/053000/053136.png,Firecrest Trophy,,Feuerwappen-Trophäe,Firecrest Trophy,Trophée du cimier de feu,ファイアクレスト・トロフィー,,/Item/15986,"A stunning trophy crafted from an item believed to contain the soul of a legendary dragon.



※One per estate only."
36,16037,/i/026000/026038.png,Syldra Horn,,Syldra-Horn,Syldra Horn,Cor Syldra,シルドラホルン,,/Item/16037,"A tar-stained horn that, when blown, emits a low, rumbling tone that can be heard even hundreds of yalms under the sea─the preferred breeding grounds of the legendary Syldra."
31,16168,/i/025000/025988.png,Firecrest,,Feuerwappen,Firecrest,Cimier de feu,ファイアクレスト,,/Item/16168,An ancient artifact believed to contain the soul of a legendary dragon.
30,16562,/i/026000/026039.png,Sophic Lanner Whistle,,Sophia-Lanner-Pfeife,Sophic Lanner Whistle,Sifflet faucon sophique,ゴッデスラナーホイッスル,,/Item/16562,"This whistle emits a shrill tone that is said to summon a legendary falcon bred to serve the ancient Meracydian goddess, Sophia."
30,16771,/i/027000/027666.png,Sophia Card,,Sophia-Karte,Sophia Card,Carte Sophia,カード:ソフィア,,/Item/16771,A legendary (★★★★★) card used in the game Triple Triad.
32,17007,/i/026000/026039.png,Demonic Lanner Whistle,,Dämonen-Lanner-Pfeife,Demonic Lanner Whistle,Sifflet faucon zurvanique,デモンラナーホイッスル,,/Item/17007,"This whistle emits a shrill tone that is said to summon a legendary falcon bred to serve the ancient Meracydian god, Zurvan."
32,17523,/i/026000/026164.png,Legendary Clan Mark Log,,Clan-Jägerlegende-Tagebuch,Legendary Clan Mark Log,Journal de membre ardent du clan,気鋭クラン員の手記,,/Item/17523,"A list of elite marks slain by the log's owner─a hunter so great, that her legendary exploits are almost too remarkable to believe."
36,20557,/i/026000/026038.png,Centurio Tiger Horn,,Centurio-Tiger-Horn,Centurio Tiger Horn,Cor tigre centurio,セントリオタイガーホルン,,/Item/20557,The horn of a beast felled on a legendary Hunt used to summon a legendary tiger gifted to you by the Clan Centurio.
36,20637,/i/026000/026038.png,Ixion Clarion,,Ixion-Horn,Ixion Clarion,Cor d'Ixion,イクシオンホルン,,/Item/20637,"It is said the legendary Ixion can be tamed by no man. With this horn, however, can the steed be calmed enough for one to mount his back."
