,temperatureMin,apparentTemperatureMinTime,temperatureHighTime,apparentTemperatureMin,time,dewPoint,apparentTemperatureHighTime,uvIndex,temperatureLowTime,apparentTemperatureMaxTime,apparentTemperatureLowTime,sunriseTime,windBearing,apparentTemperatureLow,icon,cloudCover,sunsetTime,temperatureMaxTime,uvIndexTime,windSpeed,temperatureMinTime,apparentTemperatureHigh,humidity,temperatureMax,apparentTemperatureMax,moonPhase,temperatureLow,summary,temperatureHigh
0,54.3,1521028800,1521064800,54.3,1521007200,45.0,1521064800,11,1521118800,1521064800,1521118800,1521032705,247,49.36,clear-day,0.0,1521075909,1521064800,1521054000,3.11,1521028800,87.15,0.45,87.15,87.15,0.92,49.36,Clear throughout the day.,87.15
0,50.31,1521028800,1521064800,50.31,1521007200,41.78,1521064800,11,1521118800,1521064800,1521118800,1521032655,242,45.93,clear-day,0.0,1521075859,1521064800,1521054000,2.74,1521028800,82.96,0.49,82.96,82.96,0.92,45.93,Clear throughout the day.,82.96
0,47.08,1521118800,1521151200,47.08,1521093600,42.08,1521151200,11,1521205200,1521151200,1521205200,1521119005,261,44.21,clear-day,0.01,1521162281,1521151200,1521140400,3.15,1521118800,82.27,0.51,82.27,82.27,0.95,44.21,Clear throughout the day.,82.27
0,46.26,1521291600,1521327600,46.26,1521266400,35.35,1521327600,11,1521370800,1521327600,1521370800,1521291748,255,48.95,clear-day,0.11,1521335166,1521327600,1521313200,2.69,1521291600,87.67,0.37,87.67,87.67,0.02,48.95,Partly cloudy throughout the day.,87.67
0,45.82,1521291600,1521327600,45.82,1521266400,34.69,1521327600,11,1521370800,1521327600,1521370800,1521291706,82,47.34,clear-day,0.12,1521335125,1521327600,1521313200,2.42,1521291600,84.83,0.39,84.83,84.83,0.02,47.34,Partly cloudy throughout the day.,84.83
0,47.46,1521370800,1521414000,47.46,1521352800,33.35,1521414000,7,1521464400,1521414000,1521464400,1521378066,273,48.05,partly-cloudy-day,0.44,1521421556,1521414000,1521396000,2.59,1521370800,84.01,0.33,84.01,84.01,0.05,48.05,Mostly cloudy throughout the day.,84.01
0,45.48,1521370800,1521414000,45.48,1521352800,33.01,1521414000,7,1521464400,1521414000,1521464400,1521378040,273,45.1,partly-cloudy-day,0.44,1521421530,1521414000,1521396000,2.59,1521370800,81.81,0.35,81.81,81.81,0.05,45.1,Mostly cloudy throughout the day.,81.81
0,47.29,1521378000,1521406800,47.29,1521352800,35.12,1521406800,7,1521464400,1521406800,1521464400,1521378080,258,45.08,partly-cloudy-day,0.44,1521421569,1521406800,1521396000,3.77,1521378000,84.0,0.37,84.0,84.0,0.05,45.08,Mostly cloudy throughout the day.,84.0
0,48.34,1521370800,1521406800,48.34,1521352800,36.5,1521406800,7,1521464400,1521406800,1521464400,1521378090,261,47.46,partly-cloudy-day,0.44,1521421580,1521406800,1521396000,3.01,1521370800,85.26,0.34,85.26,85.26,0.05,47.46,Mostly cloudy throughout the day.,85.26
0,48.32,1521464400,1521496800,48.32,1521439200,34.62,1521496800,11,1521550800,1521496800,1521550800,1521464441,264,48.32,clear-day,0.11,1521508002,1521496800,1521486000,3.07,1521464400,89.73,0.33,89.73,89.73,0.09,48.32,Clear throughout the day.,89.73
0,45.31,1521464400,1521493200,45.31,1521439200,33.96,1521493200,11,1521550800,1521493200,1521550800,1521464441,260,45.86,clear-day,0.11,1521508002,1521493200,1521486000,3.46,1521464400,87.76,0.35,87.76,87.76,0.09,45.86,Clear throughout the day.,87.76
0,45.67,1521550800,1521590400,45.67,1521525600,35.39,1521590400,11,1521637200,1521590400,1521637200,1521550737,236,48.34,clear-day,0.0,1521594370,1521590400,1521572400,1.14,1521550800,86.48,0.4,86.48,86.48,0.12,48.34,Clear throughout the day.,86.48
0,51.33,1521630000,1521669600,51.33,1521612000,41.35,1521669600,11,1521720000,1521669600,1521720000,1521637130,195,57.78,clear-day,0.0,1521680835,1521669600,1521658800,2.52,1521630000,90.91,0.39,90.91,90.91,0.16,57.78,Clear throughout the day.,90.91
0,49.4,1521630000,1521669600,49.4,1521612000,42.74,1521669600,11,1521720000,1521669600,1521720000,1521637106,123,55.8,clear-day,0.0,1521680811,1521669600,1521658800,2.52,1521630000,89.31,0.46,89.31,89.31,0.16,55.8,Clear throughout the day.,89.31
0,51.94,1521889200,1521932400,51.94,1521871200,39.72,1521932400,9,1521982800,1521932400,1521982800,1521896168,262,55.07,clear-day,0.1,1521940088,1521932400,1521918000,3.22,1521889200,90.52,0.35,90.52,90.52,0.27,55.07,Partly cloudy throughout the day.,90.52
0,50.45,1521889200,1521925200,50.45,1521871200,41.97,1521925200,9,1521979200,1521925200,1521979200,1521896133,284,51.05,clear-day,0.1,1521940053,1521925200,1521918000,2.64,1521889200,89.71,0.44,89.71,89.71,0.27,51.05,Partly cloudy throughout the day.,89.71
0,54.47,1522069200,1522098000,54.47,1522044000,37.29,1522098000,11,1522155600,1522098000,1522155600,1522068851,259,51.18,clear-day,0.01,1522112913,1522098000,1522090800,4.61,1522069200,88.69,0.3,88.69,88.69,0.34,51.18,Clear throughout the day.,88.69
0,52.78,1522069200,1522098000,52.78,1522044000,37.33,1522098000,11,1522152000,1522098000,1522152000,1522068827,261,53.67,clear-day,0.01,1522112890,1522098000,1522090800,3.91,1522069200,88.37,0.33,88.37,88.37,0.34,53.67,Clear throughout the day.,88.37
0,56.37,1522069200,1522098000,56.37,1522044000,39.26,1522098000,11,1522155600,1522098000,1522155600,1522068859,257,54.69,clear-day,0.01,1522112920,1522098000,1522090800,3.36,1522069200,90.93,0.31,90.93,90.93,0.34,54.69,Clear throughout the day.,90.93
0,48.9,1522242000,1522270800,48.9,1522216800,41.7,1522270800,11,1522328400,1522270800,1522328400,1522241506,235,45.75,partly-cloudy-day,0.15,1522285708,1522270800,1522260000,3.5,1522242000,81.98,0.46,81.98,81.98,0.41,45.75,Partly cloudy throughout the day.,81.98
0,50.62,1522231200,1522270800,50.62,1522216800,43.87,1522270800,11,1522328400,1522270800,1522328400,1522241515,223,47.13,partly-cloudy-day,0.15,1522285721,1522270800,1522260000,4.55,1522231200,85.08,0.48,85.08,85.08,0.41,47.13,Partly cloudy throughout the day.,85.08
0,47.49,1522328400,1522364400,47.49,1522303200,40.52,1522364400,10,1522414800,1522364400,1522414800,1522327844,351,52.02,partly-cloudy-day,0.21,1522372118,1522364400,1522350000,1.77,1522328400,82.13,0.42,82.13,82.13,0.45,52.02,Partly cloudy throughout the day.,82.13
0,47.38,1522328400,1522364400,47.38,1522303200,40.4,1522364400,10,1522414800,1522364400,1522414800,1522327846,352,52.06,partly-cloudy-day,0.22,1522372122,1522364400,1522350000,1.77,1522328400,82.25,0.42,82.25,82.25,0.45,52.06,Partly cloudy throughout the day.,82.25
0,46.74,1522328400,1522357200,46.74,1522303200,40.85,1522357200,11,1522414800,1522357200,1522414800,1522327867,349,50.97,partly-cloudy-day,0.21,1522372140,1522357200,1522350000,1.78,1522328400,81.04,0.44,81.04,81.04,0.45,50.97,Partly cloudy throughout the day.,81.04
0,44.74,1516712400,1516741200,44.74,1516687200,35.97,1516741200,5,1516788000,1516741200,1516788000,1516714428,255,46.33,rain,0.69,1516754424,1516741200,1516730400,2.55,1516712400,76.15,0.45,76.15,76.15,0.22,46.33,Possible drizzle in the evening.,76.15
0,55.42,1553421600,1553468400,55.42,1553407200,42.4,1553468400,14,1553508000,1553468400,1553508000,1553432178,298,55.74,clear-day,0.0,1553476078,1553468400,1553454000,2.59,1553421600,87.1,0.41,87.1,87.1,0.65,55.74,Clear throughout the day.,87.1
0,51.16,1553950800,1553979600,51.16,1553925600,17.44,1553979600,14,1554037200,1553979600,1554037200,1553950224,285,54.5,clear-day,0.0,1553994554,1553979600,1553972400,5.07,1553950800,87.39,0.15,87.39,87.39,0.84,54.5,Clear throughout the day.,87.39
0,50.75,1555074000,1555113600,50.75,1555045200,26.55,1555113600,8,1555160400,1555113600,1555160400,1555072727,271,50.3,partly-cloudy-day,0.47,1555117958,1555113600,1555095600,4.05,1555074000,81.06,0.24,81.06,81.06,0.26,50.3,Mostly cloudy throughout the day.,81.06
0,42.78,1555246800,1555286400,42.78,1555218000,27.04,1555286400,14,1555333200,1555286400,1555333200,1555245438,325,54.44,partly-cloudy-day,0.13,1555290802,1555286400,1555268400,2.37,1555246800,81.87,0.28,81.87,81.87,0.33,54.44,Partly cloudy throughout the day.,81.87
0,53.11,1555416000,1555455600,53.11,1555390800,38.65,1555455600,15,1555506000,1555455600,1555506000,1555418143,257,53.35,clear-day,0.02,1555463641,1555455600,1555441200,3.52,1555416000,84.64,0.41,84.64,84.64,0.41,53.35,Clear throughout the day.,84.64
0,52.97,1555416000,1555455600,52.97,1555390800,38.7,1555455600,15,1555506000,1555455600,1555506000,1555418147,256,53.19,clear-day,0.02,1555463644,1555455600,1555441200,3.5,1555416000,84.23,0.41,84.23,84.23,0.41,53.19,Clear throughout the day.,84.23
0,54.37,1555416000,1555455600,54.37,1555390800,38.16,1555455600,15,1555506000,1555455600,1555506000,1555418132,253,54.65,clear-day,0.02,1555463629,1555455600,1555441200,3.54,1555416000,88.16,0.37,88.16,88.16,0.41,54.65,Clear throughout the day.,88.16
0,55.0,1555416000,1555455600,55.0,1555390800,39.11,1555455600,15,1555506000,1555455600,1555506000,1555418134,267,55.16,clear-day,0.02,1555463640,1555455600,1555441200,3.45,1555416000,89.72,0.38,89.72,89.72,0.41,55.16,Clear throughout the day.,89.72
0,57.08,1556024400,1556053200,57.08,1555995600,25.25,1556053200,10,1556110800,1556053200,1556110800,1556022636,285,54.89,partly-cloudy-day,0.56,1556068602,1556053200,1556042400,4.32,1556024400,86.61,0.19,86.61,86.61,0.66,54.89,Mostly cloudy throughout the day.,86.61
0,61.18,1556715600,1556748000,61.18,1556686800,31.75,1556748000,13,1556802000,1556748000,1556802000,1556713545,296,64.89,clear-day,0.12,1556760005,1556748000,1556733600,5.0,1556715600,94.83,0.21,94.83,94.83,0.91,64.89,Partly cloudy throughout the day.,94.83
0,65.0,1533218400,1533250800,65.42,1533186000,60.35,1533250800,7,1533301200,1533250800,1533301200,1533213056,55,64.92,rain,0.71,1533260018,1533250800,1533236400,4.02,1533214800,84.62,0.64,84.62,84.62,0.69,64.11,"Possible light rain until morning, starting again in the evening.",84.62
0,62.37,1533301200,1533337200,63.01,1533272400,58.65,1533337200,9,1533387600,1533337200,1533387600,1533299453,95,63.85,rain,0.46,1533346369,1533337200,1533326400,3.21,1533301200,85.29,0.68,85.29,85.29,0.73,63.15,Possible light rain in the morning and overnight.,85.29
0,63.9,1533301200,1533337200,64.69,1533272400,59.65,1533337200,9,1533387600,1533337200,1533387600,1533299477,112,65.46,rain,0.46,1533346384,1533337200,1533326400,3.05,1533301200,86.95,0.66,86.95,86.95,0.73,64.63,Possible light rain in the morning.,86.95
0,59.41,1533301200,1533340800,59.75,1533272400,58.71,1533340800,9,1533387600,1533340800,1533387600,1533299437,87,58.71,rain,0.46,1533346336,1533340800,1533326400,2.18,1533301200,78.25,0.77,78.25,78.25,0.73,58.47,Possible light rain in the morning and overnight.,78.25
0,59.36,1533301200,1533340800,59.69,1533272400,58.7,1533340800,9,1533387600,1533340800,1533387600,1533299437,87,58.67,rain,0.46,1533346336,1533340800,1533326400,2.18,1533301200,78.21,0.78,78.21,78.21,0.73,58.42,Possible light rain in the morning and overnight.,78.21
0,63.04,1535983200,1536012000,63.65,1535950800,63.16,1536015600,10,1536066000,1536015600,1536066000,1535978418,318,59.63,rain,0.79,1536023399,1536012000,1536001200,3.79,1535983200,82.21,0.81,81.15,82.21,0.78,59.31,"Possible light rain until morning, starting again in the evening.",81.15
0,60.9,1538481600,1538524800,61.22,1538456400,61.65,1538524800,7,1538568000,1538524800,1538568000,1538484435,76,61.64,rain,0.56,1538527384,1538524800,1538506800,3.09,1538481600,83.88,0.75,83.31,83.88,0.77,61.21,Possible light rain in the morning and overnight.,83.31
0,59.07,1538485200,1538521200,59.29,1538456400,60.24,1538521200,7,1538571600,1538528400,1538571600,1538484412,66,59.26,rain,0.56,1538527359,1538528400,1538506800,4.19,1538485200,80.01,0.77,80.75,81.51,0.77,59.26,Possible light rain in the morning and overnight.,80.01
0,60.08,1538485200,1538521200,60.33,1538456400,60.74,1538521200,7,1538571600,1538528400,1538571600,1538484427,67,59.88,rain,0.56,1538527375,1538528400,1538506800,4.17,1538485200,81.66,0.75,82.26,82.86,0.77,59.88,Possible light rain in the morning and overnight.,81.46
0,56.76,1541167200,1541188800,56.84,1541138400,58.08,1541188800,5,1541242800,1541188800,1541242800,1541163478,238,55.12,rain,0.88,1541204360,1541188800,1541178000,0.9,1541167200,71.47,0.84,71.47,71.47,0.84,55.12,Overcast throughout the day.,71.47
0,55.4,1541167200,1541188800,55.4,1541138400,57.94,1541188800,5,1541242800,1541188800,1541242800,1541163484,236,53.68,rain,0.88,1541204370,1541188800,1541178000,0.9,1541167200,69.07,0.89,69.07,69.07,0.84,53.68,Overcast throughout the day.,69.07
0,42.25,1543759200,1543791600,42.25,1543730400,46.38,1543791600,8,1543842000,1543791600,1543842000,1543756622,297,40.83,clear-day,0.02,1543796075,1543791600,1543777200,2.3,1543759200,77.34,0.7,77.34,77.34,0.86,40.83,Foggy in the morning.,77.34
