Ciudad,Fecha y fuente,País,Población según Citypopulation (2015),Población según Citypopulation (2016),Población según Citypopulation[1]​,Población según Demographia (2015),Población según Demographia[2]​,Población según ONU (2015),Población según ONU[3]​,Población según último censo,Población según último censo oficial,Posición
Tianjin,2010,China,,,13 200 000,,11 210 000,,10 920 000,,9 290 263,28
Río de Janeiro,2010,Brasil,,,13 100 000,,12 902 000,,11 727 000,,11 835 708,27
Lahore,1998,Pakistán,,,12 600 000,,8 741 000,,10 052 000,,5 143 495,29
Kinsasa,2004,República Democrática del Congo,,,12 000 000,,11 587 000,,11 587 000,,7 273 947,30
Bangalore,2011,India,,,11 800 000,,10 087 000,,9 807 000,,8 520 435,31
París,1999,Francia,,,11 400 000,,10 843 000,,10 858 000,,9 738 809,32
Madrás,2011,India,,,11 000 000,,9 890 000,,9 714 000,,8 653 521,33
Nagoya,2010,Japón,,,11 500 000,,9 406 000,,10 177 000,,2 263 894,34
Lima,2007,Perú,,,9 900 000,,10 247 000,,11 150 000,,9 789 000,35
Xiamen,2018,China,,,9 900 000,,5 825 000,,11 130 000,,4 273 841,36
Hyderabad,2011,India,,,9 850 000,,8 942 000,,8 754 000,,7 677 018,37
Bogotá,2017,Colombia,,,9 800 000,,8 197 000,,8 950 932,,8 950 000,38
Chengdu,2010,China,,,9 800 000,,7 556 000,,10 376 000,,6 316 922,39
Chicago,2010,Estados Unidos,,,9 750 000,,8 745 000,,9 156 000,,9 461 537,40
Taipéi,2017,Taiwán,,,9 100 000,,2 666 000,,7 438 000,,---,41
Wuhan,2010,China,,,8 850 000,,8 467 000,,8 625 000,,6 787 819,42
Kuala Lumpur,2002,Malasia,,,8 700 000,,5 507 000,,5 225 000,,4 656 690,43
Ciudad Ho Chi Minh,2009,Vietnam,,,8 600 000,,7 298 000,,8 957 000,,5 880 615,44
Washington D. C.,2010,Estados Unidos,,,8 550 000,,7 222 000,,7 152 000,,8 347 003,45
Hangzhou,2010,China,,,8 300 000,,8 467 000,,9 625 000,,6 887 819,46
Ahmedabad,2011,India,,,8 250 000,,7 343 000,,7 186 000,,6 357 693,47
Chongqing,2010,China,,,8 050 000,,13 332 000,,7 217 000,,6 263 790,48
Luanda,2014,Angola,,,7 900 000,,5 506 000,,5 899 000,,6 377 246,49
Santiago de Chile,2017,Chile,,,7 960 000,,6 837 000,,7 288 000,,7 306 944,50
Shenyang,2010,China,,,7 900 000,,7 613 000,,7 402 000,,7 037 040,51
San Francisco-San José,2010,Estados Unidos,,,7 850 000,,5 030 000,,5 929 000,,6 172 501,52
Singapur - Johor Bahru,2010 2000,Singapur Malasia,,,7 800 000,,6 531 000,,7 312 000,,5 719 644,53
Riad,2010,Arabia Saudita,,,7 750 000,,6 370 000,,5 666 000,,5 188 286,54
Shantou,2010,China,,,7 700 000,,6 287 000,,6 337 000,,5 775 239,55
Boston (incluyendo Providence),2010,Estados Unidos,,,7 650 000,,5 445 000,,5 679 000,,6 153 628,56
Hong Kong,2011,China,,,7 450 000,,7 314 000,,7 246 000,,7 071 576,57
Filadelfia,2010,Estados Unidos,,,7 350 000,,5 585 000,,5 570 000,,5 965 368,58
Toronto,2011,Canadá,,,7 350 000,,5 993 000,,6 456 000,,5 583 064,59
Dallas,2010,Estados Unidos,,,7 100 000,,5 703 000,,6 174 000,,6 426 210,60
Bagdad,1987,Irak,,,6 850 000,,6 643 000,,6 625 000,,3 841 268,61
Bandung,2010,Indonesia,,,6 850 000,,2 544 000,,5 695 000,,2 394 873,62
Xi'an,2010,China,,,6 800 000,,6 044 000,,5 977 000,,5 206 253,63
Nankín,2010,China,,,6 700 000,,6 369 000,,6 155 000,,5 827 888,64
Pune,2011,India,,,6 700 000,,5 728 000,,5 631 000,,5 057 709,65
Houston,2010,Estados Unidos,,,6 600 000,,5 636 000,,5 764 000,,5 920 490,66
Madrid,2011,España,,,6 450 000,,6 199 000,,6 171 000,,3 198 645,67
Miami,2010,Estados Unidos,,,6 350 000,,5 817 000,,5 764 000,,5 566 299,68
Surat,2011,India,,,6 350 000,,5 650 000,,5 447 000,,4 591 246,69
Jartum,2008,Sudán,,,6 150 000,,5 126 000,,5 125 000,,4 272 728,70
Dar es-Salam,2012,Tanzania,,,6 150 000,,5 116 000,,4 219 000,,4 364 541,71
Nairobi,2009,Kenia,,,5 950 000,,3 915 000,,4 738 000,,3 133 518,72
Qingdao,2010,China,,,5 950 000,,4 566 000,,5 816 000,,3 990 942,73
Atlanta,2010,Estados Unidos,,,5 800 000,,5 142 000,,5 015 000,,5 286 727,74
Alejandría,2006,Egipto,,,5 700 000,,4 778 000,,4 689 000,,4 028 028,75
Detroit - Windsor,2010 2011,Estados Unidos Canadá,,,5 700 000,,3 954 000,,3 947 000,,4 615 559,76
Región del Ruhr,2011,Alemania,,,5 700 000,,---,,---,,---,77
San Petersburgo,2010,Rusia,,,5 600 000,,4 993 000,,5 126 000,,4 879 566,78
Rangún,2014,Birmania,,,5 500 000,,4 802 000,,4 800 000,,4 728 524,79
Abiyán,2014,Costa de Marfil,,,5 450 000,,4 860 000,,4 800 000,,4 395 243,80
Amán,2015,Jordania,,,5 450 000,,4 778 000,,4 689 000,,4 028 028,81
Zhengzhou,2010,China,,,5 350 000,,4 387 000,,4 942 000,,3 677 032,82
Guadalajara,2010,México,,,5 250 000,,4 843 000,,4 603 000,,4 495 182,83
Wenzhou,2010,China,,,5 250 000,,3 208 000,,4 303 000,,3 614 208,84
Milán,2011,Italia,,,5 200 000,,3 099 000,,5 257 000,,1 242 123,85
Sídney,2011,Australia,,,5 200 000,,4 505 000,,4 036 000,,4 028 525,86
Harbin,2010,China,,,5 150 000,,5 457 000,,4 815 000,,4 596 313,86
Colonia - Düsseldorf,2011,Alemania,,,5 000 000,,1 640 000,,8 783 000,,1 591 866,88
Ankara,2000,Turquía,,,4 975 000,,4 750 000,,4 538 000,,3 203 362,89
Belo Horizonte,2010,Brasil,,,4 975 000,,5 716 000,,4 517 000,,5 414 701,90
Acra,2010,Ghana,,,4 950 000,,2 277 000,,4 145 000,,2 070 463,91
Monterrey,2010,México,,,4 925 000,,4 513 000,,4 083 000,,1 135512,92
Dubai,2016,Emiratos Árabes Unidos,,,4 900 000,,4 161 000,,4 000 000,,3 900 390,93
Melbourne,2010,Australia,,,4 850 000,,5 258 000,,4 693 000,,1 611 013,94
Chittagong,2011,Bangladés,,,4 825 000,,4 539 000,,3 176 000,,4 009 423,95
Hefei,2010,China,,,4 825 000,,3 348 000,,3 665 000,,3 098 727,96
Jeddah,2010,Arabia Saudita,,,4 775 000,,4 161 000,,4 000 000,,3 900 390,97
Berlín,2011,Alemania,,,4 750 000,,3 563 000,,4 069 000,,3 292 365,98
Changsha,2012,China,,,4 750 000,,707 000,,2 180 000,,561 314,99
Barcelona,2011,España,,,4 725 000,,5 258 000,,4 693 000,,1 611 013,100
Lagos,1991.0,Nigeria,,17.100.000,,13.123.000,,13.123.000,,5.195.247,,1
El Cairo,2006.0,Egipto,,16.800.000,,15.600.000,,18.772.000,,7.740.018[n 1]​,,2
Johannesburgo (incl. Pretoria - Vereeniging),2009.0,Sudáfrica,,13.400.000,,12.066.000[n 3]​,,12.613.000[n 2]​,,10.002.039[n 4]​,,3
Kinsasa,2004.0,República Democrática del Congo,,10.600.000,,11.587.000,,11.587.000,,7.273.947,,4
Casablanca,2014.0,Marruecos,,10.150.000,,5.899.000,,5.506.000,,6.377.246,,5
Jartum,2008.0,Sudán,,5.550.000,,5.125.000,,5.126.000,,4.272.728,,6
Dar es-Salam,2012.0,Tanzania,,5.300.000,,4.219.000,,5.116.000,,4.364.541,,7
Alejandría,2006.0,Egipto,,5.150.000,,4.689.000,,4.778.000,,4.028.028,,8
Nairobi,2009.0,Kenia,,5.200.000,,4.738.000,,3.915.000,,3.133.518,,9
Abiyán,2014.0,Costa de Marfil,,5.050.000,,4.800.000,,4.860.000,,4.395.243,,10
Acra,2010.0,Ghana,,4.575.000,,4.145.000,,2.277.000,,2.070.463[n 1]​,,11
Luanda,2014.0,Angola,,4.175.000,,3.211.000,,3.515.000,,3.359.818,,12
Ciudad del Cabo,2009.0,Sudáfrica,,4.125.000,,3.812.000,,3.660.000,,3.430.992,,13
Kano,1991.0,Nigeria,,4.125.000,,3.555.000,,3.587.000,,2.166.554,,14
Argel,2008.0,Argelia,,3.675.000,,2.590.000,,2.594.000,,2.364.230[n 1]​,,15
Adís Abeba,2007.0,Etiopía,,3.475.000,,3.376.000,,3.238.000,,2.739.551,,16
Dakar,2013.0,Senegal,,3.300.000,,3.520.000,,3.520.000,,3.026.316,,17
Durban,2009.0,Sudáfrica,,3.225.000,,3.421.000,,2.901.000,,2.786.046,,18
Ibadán,1991.0,Nigeria,,3.150.000,,3.160.000,,3.375.000,,1.835.300,,19
Kampala,2014.0,Uganda,,3.025.000,,1.930.000,,1.936.000,,1.516.210[n 1]​,,20
Bamako,2009.0,Malí,,2.950.000,,2.500.000,,2.515.000,,1.810.366,,21
Duala,2005.0,Camerún,,2.825.000,,2.940.000,,2.943.000,,1.906.962,,22
Abuya,1991.0,Nigeria,,2.825.000,,2.440.000,,2.440.000,,107.069,,23
Yaundé,2005.0,Camerún,,2.725.000,,3.060.000,,3.066.000,,1.817.524,,24
Kumasi,2010.0,Ghana,,2.675.000,,2.500.000,,2.599.000,,2.035.064,,25
Túnez,2014.0,Túnez,,2.500.000,,1.990.000,,1.993.000,,2.359.721,,26
Harare,2012.0,Zimbabue,,2.325.000,,2.203.000,,1.501.000,,1.485.231,,27
Lusaka,2010.0,Zambia,,2.275.000,,2.190.000,,2.179.000,,1.747.152,,28
Antananarivo,1993.0,Madagascar,,2.225.000,,2.398.000,,2.610.000,,710.236,,29
Conakri,2014.0,Guinea,,2.225.000,,1.930.000,,1.936.000,,1.667.864,,30
Maputo,2007.0,Mozambique,,2.200.000,,2.615.000,,1.187.000,,1.094.628[n 1]​,,31
Uagadugú,2006.0,Burkina Faso,,2.100.000,,2.700.000,,2.741.000,,1.475.223,,32
Port Harcourt,1991.0,Nigeria,,2.075.000,,2.340.000,,2.343.000,,703.421,,33
Rabat,2014.0,Marruecos,,1.920.000,,1.845.000,,1.967.000,,577.827[n 1]​,,34
Brazzaville,2007.0,República del Congo,,1.900.000,,1.850.000,,1.888.000,,1.373.382,,35
Lubumbashi,2004.0,República Democrática del Congo,,1.870.000,,2.000.000,,2.015.000,,1.273.380,,36
Mbuji-Mayi,2004.0,República Democrática del Congo,,1.860.000,,2.000.000,,2.007.000,,1.213.726,,37
Lomé,2010.0,Togo,,1.820.000,,1.941.000,,956.000,,1.477.658,,38
Mogadiscio,,Somalia,,1.720.000,,2.120.000,,2.138.000,,,,39
Kaduna,1991.0,Nigeria,,1.680.000,,1.020.000,,1.048.000,,993.642,,40
Cotonú,2013.0,Benín,,1.600.000,,871.000,,682.000,,679.012[n 1]​,,41
Benin City,1991.0,Nigeria,,1.480.000,,1.490.000,,1.496.000,,762.719,,42
Freetown,2004.0,Sierra Leona,,1.440.000,,1.000.000,,1.007.000,,772.873,,43
Monrovia,2008.0,Liberia,,1.340.000,,1.100.000,,1.264.000,,1.021.762,,44
Orán,2008.0,Argelia,,1.340.000,,850.000,,858.000,,803.329,,45
Yamena,2009.0,Chad,,1.210.000,,1.260.000,,1.260.000,,951.418,,46
Port Elizabeth,2011.0,Sudáfrica,,1.210.000,,1.212.000,,1.179.000,,876.436,,47
Fez,2014.0,Marruecos,,1.200.000,,1.193.000,,1.172.000,,1.120.072,,48
Mombasa,2009.0,Kenia,,1.120.000,,1.116.000,,1.104.000,,915.101,,49
Niamey,2012.0,Níger,,1.120.000,,1.090.000,,1.090.000,,978.029,,50
Trípoli,1984.0,Libia,,1.110.000,,1.110.000,,1.126.000,,591.062,,51
Agadir,2014.0,Marruecos,,1.090.000,,608.000,,590.000,,421.844[n 1]​,,52
Onitsha,1991.0,Nigeria,,1.070.000,,1.100.000,,1.109.000,,350.280,,53
Lilongüe,2008.0,Malaui,,1.070.000,,900.000,,905.000,,674.448,,54
Marrakech,2014.0,Marruecos,,1.060.000,,1.173.000,,1.134.000,,928.850,,55
Nuakchot,2013.0,Mauritania,,1.060.000,,950.000,,968.000,,958.399,,56
Bangui,2003.0,República Centroafricana,,1.060.000,,790.000,,794.000,,622.771,,57
Maiduguri,1991.0,Nigeria,,1.060.000,,925.000,,728.000,,618.278,,58
Aba,1991.0,Nigeria,,1.040.000,,940.000,,944.000,,500.183,,59
Susa,2014.0,Túnez,,1.040.000,,---,,---,,978.968,,60
Kigali,2012.0,Ruanda,,1.000.000,,1.121.000,,1.257.000,,859.332,,61
Huambo,1970.0,Angola,,---,,1.260.000,,1.269.000,,61.885,,62
Kananga,2004.0,República Democrática del Congo,,---,,1.150.000,,1.169.000,,720.362,,63
Kisangani,2004.0,República Democrática del Congo,,---,,1.000.000,,1.040.000,,682.599,,64
Zaria,1991.0,Nigeria,,---,,1.025.000,,703.000,,612.257,,65
Ciudad de México (incluyendo la zona metropolitana del valle de México),2010,México,,22.100.000,,20.063.000,,22.452.000,,8.555.272[n 1]​,,1
Nueva York,2010,Estados Unidos,,22.000.000,,20.630.000,,19.532.000,,19.556.440,,2
Los Ángeles (incluyendo Riverside y San Bernardino),2010,Estados Unidos,,17.600.000,,15.058.000[n 3]​,,14.504.000[n 2]​,,17.053.905[n 4]​,,3
Chicago,2010,Estados Unidos,,9.800.000,,9.156.000,,8.745.000,,9.461.537,,4
Washington D. C. (incluyendo Baltimore),2010,Estados Unidos,,8.350.000,,7.152.000[n 3]​,,7.222.000[n 2]​,,8.347.003[n 4]​,,5
San Francisco (incluyendo San José),2010,Estados Unidos,,7.600.000,,5.929.000,,5.030.000 [n 2]​,,6.172.501[n 4]​,,6
Boston (incluyendo Providence),2010,Estados Unidos,,7.350.000,,5.679.000[n 3]​,,5.445.000[n 2]​,,6.153.628[n 4]​,,7
Filadelfia,2010,Estados Unidos,,7.300.000,,5.570.000,,5.585.000,,5.965.368,,8
Toronto,2011,Canadá,,7.100.000,,6.456.000,,5.993.000,,5.583.064,,9
Dallas,2010,Estados Unidos,,6.550.000,,6.174.000,,5.703.000,,6.426.210,,10
Houston,2010,Estados Unidos,,6.200.000,,5.764.000,,5.636.000,,5.920.490,,11
Miami,2010,Estados Unidos,,6.100.000,,5.764.000,,5.817.000,,5.566.299,,12
Detroit - Windsor,2010 2011,Estados Unidos Canadá,,5.700.000,,3.947.000[n 3]​,,3.954.000[n 2]​,,4.615.559[n 4]​,,13
Atlanta,2010,Estados Unidos,,5.500.000,,5.015.000,,5.142.000,,5.286.727,,14
Guadalajara,2010,México,,4.975.000,,4.603.000,,4.843.000,,1.495.182[n 1]​,,15
Monterrey,2010,México,,4.650.000,,4.083.000,,4.513.000,,1.135.512[n 1]​,,16
Phoenix,2010,Estados Unidos,,4.325.000,,4.194.000,,4.063.000,,4.193.127,,17
Montreal,2011,Canadá,,4.100.000,,3.536.000,,3.981.000,,3.824.221,,18
Seattle,2010,Estados Unidos,,4.075.000,,3.218.000,,3.249.000,,3.439.815,,19
Tampa,2010,Estados Unidos,,4.025.000,,2.621.000,,2.659.000,,2.783.514,,20
Denver,2010,Estados Unidos,,3.525.000,,2.559.000,,2.599.000,,2.543.594,,21
San Diego,2010,Estados Unidos,,3.275.000,,3.086.000,,3.107.000,,3.095.308,,22
Cleveland,2010,Estados Unidos,,3.075.000,,1.783.000,,1.773.000,,2.077.246,,23
Orlando,2010,Estados Unidos,,3.075.000,,2.040.000,,1.731.000,,2.134.418,,24
Minneapolis,2010,Estados Unidos,,3.050.000,,2.771.000,,2.791.000,,3.348.857,,25
Puebla de Zaragoza,2010,México,,2.975.000,,2.088.000,,2.984.000,,1.434.062[n 1]​,,26
Cincinnati,2010,Estados Unidos,,2.725.000,,1.682.000,,1.688.000,,2.114.755,,27
Vancouver,2011,Canadá,,2.500.000,,2.273.000,,2.485.000,,2.313.328,,28
Saint Louis,2010,Estados Unidos,,2.350.000,,2.186.000,,2.184.000,,2.787.752,,29
Salt Lake City,2010,Estados Unidos,,2.300.000,,1.085.000,,1.096.000,,1.087.873,,30
Portland,2010,Estados Unidos,,2.275.000,,1.976.000,,2.001.000,,2.226.011,,31
Charlotte,2010,Estados Unidos,,2.275.000,,1.535.000,,1.616.000,,2.217.248,,32
Toluca de Lerdo,2010,México,,2.150.000,,1.878.000,,2.164.000,,489.333[n 1]​,,33
Las Vegas,2010,Estados Unidos,,2.075.000,,2.191.000,,2.270.000,,1.951.269,,34
Pittsburgh,2010,Estados Unidos,,2.075.000,,1.730.000,,1.719.000,,2.356.285,,35
San Antonio,2010,Estados Unidos,,2.050.000,,1.976.000,,2.030.000,,2.142.518,,36
Sacramento,2010,Estados Unidos,,1.980.000,,1.885.000,,1.920.000,,2.149.143,,37
Kansas City,2010,Estados Unidos,,1.920.000,,1.593.000,,1.604.000,,2.009.338,,38
Indianápolis,2010,Estados Unidos,,1.910.000,,1.617.000,,1.646.000,,1.888.082,,39
Tijuana,2010,México,,1.880.000,,1.968.000,,1.987.000,,1.300.983[n 1]​,,40
León,2010,México,,1.800.000,,1.469.000,,1.807.000,,1.238.962[n 1]​,,41
Austin,2010,Estados Unidos,,1.740.000,,1.616.000,,1.684.000,,1.716.303,,42
Hartford,2010,Estados Unidos,,1.700.000,,960.000,,963.000,,1.212.387,,43
Columbus,2010,Estados Unidos,,1.640.000,,1.481.000,,1.505.000,,1.902.015,,44
Virginia Beach,2010,Estados Unidos,,1.610.000,,1.463.000,,1.460.000,,1.676.817,,45
Milwaukee,2010,Estados Unidos,,1.540.000,,1.408.000,,1.409.000,,1.555.954,,46
Raleigh,2010,Estados Unidos,,1.524.000,,1.085.000,,1.140.000,,1.130.490,,47
Ciudad Juárez,2010,México,,1.513.000,,1.391.000,,1.440.000,,1.321.004[n 1]​,,48
Calgary,2011,Canadá,,1.470.000,,1.189.000,,1.397.000,,1.214.839,,49
Búfalo - St. Catharines,2010 2011,Estados Unidos Canadá,,1.450.000,,1.232.000 [n 3]​,,1.396.000 [n 2]​,,1.527.725 [n 4]​,,50
Nashville,2010,Estados Unidos,,1.430.000,,1.081.000,,1.255.000,,1.670.900,,51
Jacksonville,2010,Estados Unidos,,1.390.000,,1.154.000,,1.272.000,,1.345.596,,52
Torreón,2010,México,,1.373.000,,1.327.000,,1.332.000,,608.836[n 1]​,,53
Harrisburg,2010,Estados Unidos,,1.370.000,,484.000,,493.000,,549.473,,54
Santiago de Querétaro,2010,México,,1.280.000,,1.249.000,,1.267.000,,626.495[n 1]​,,55
Edmonton,2011,Canadá,,1.270.000,,1.040.000,,1.272.000,,1.159.869,,56
McAllen,2010,Estados Unidos,,1.270.000,,838.000,,864.000,,774.773,,57
Stockton,2010,Estados Unidos,,1.200.000,,371.000,,403.000,,685.308,,58
Ottawa,2011,Canadá,,1.180.000,,994.000,,1.326.000,,1.236.324,,59
San Luis Potosí,2010,México,,1.150.000,,1.137.000,,1.147.000,,722.772[n 1]​,,60
Memphis,2010,Estados Unidos,,1.150.000,,1.102.000,,1.106.000,,1.324.829,,61
Melbourne,2010,Estados Unidos,,1.110.000,,482.000,,486.000,,543.378,,62
Oklahoma City,2010,Estados Unidos,,1.090.000,,917.000,,926.000,,1.252.992,,63
Greensboro,2010,Estados Unidos,,1.090.000,,334.000,,337.000,,723.798,,64
Mérida,2010,México,,1.070.000,,1.111.000,,1.068.000,,777.615[n 1]​,,65
Aguascalientes,2010,México,,1.060.000,,1.020.000,,1.031.000,,722.250[n 1]​,,66
Louisville,2010,Estados Unidos,,1.040.000,,1.025.000,,1.032.000,,1.235.710,,67
Richmond,2010,Estados Unidos,,1.030.000,,1.018.000,,1.030.000,,1.208.080,,68
El Paso,2010,Estados Unidos,,1.020.000,,865.000,,877.000,,804.123,,69
Mexicali,2010,México,,1.010.000,,1.018.000,,1.034.000,,689.775[n 1]​,,70
Nueva Orleans,2010,Estados Unidos,,1.010.000,,922.000,,921.000,,1.189.863,,71
Cuernavaca,2010,México,,1.010.000,,990.000,,993.000,,338.650[n 1]​,,72
Chihuahua,2010,México,,1.002.000,,940.000,,941.000,,809.232,,73
Saltillo,2010,México,,994.000,,917.000,,932.000,,709.671,,74
Acapulco,2010,México,,977.000,,812.000,,920.000,,297.284 [n 1]​,,75
Santo Domingo,2010.0,República Dominicana,,3.650.000,,2.925.000,,2.945.000,,2.581.827[n 1]​,,1
Ciudad de Guatemala,2002.0,Guatemala,,3.000.000,,1.289.000,,2.918.000,,942.348[n 1]​,,2
Puerto Príncipe,2003.0,Haití,,2.850.000,,2.440.000,,2.440.000,,703.023[n 1]​,,3
La Habana,2012.0,Cuba,,2.225.000,,2.130.000,,2.137.000,,2.106.146,,4
San Juan,2010.0,Puerto Rico,,2.150.000,,2.139.000,,2.463.000,,2.350.306,,5
San José,,Costa Rica,,1.840.000,,1.170.000,,1.170.000,,,,6
San Salvador,2007.0,El Salvador,,1.820.000,,1.100.000,,1.098.000,,316.090[n 1]​,,7
Panamá,2010.0,Panamá,,1.460.000,,1.498.000,,1.673.000,,430.299[n 1]​,,8
Managua,2005.0,Nicaragua,,1.340.000,,980.000,,956.000,,908.892,,9
San Pedro Sula,2001.0,Honduras,,1.110.000,,---,,852.000,,483.384,,10
Tegucigalpa,2001.0,Honduras,,1.090.000,,1.120.000,,1.123.000,,819.867,,11
"Cantón (incluyendo Dongguan, Foshan, Jiangmen, Shenzhen y Zhongshan)",2010,China,46.900.000,,,45.553.000,,42.941.000,,39.264.086,,1
Tokio,2010,Japón,39.500.000,,,37.843.000,,38.001.000,,8.945.695,,2
"Shanghái (incl. Suzhou, Kunshan)",2010,China,30.400.000,,,30.477.000,,29.213.000,,25.420.288,,3
Yakarta (incluyendo Bogor),2010,Indonesia,30.100.000,,,30.539.000,,11.399.000,,10.558.121,,4
Delhi,2011,India,28.400.000,,,24.998.000,,25.703.000,,16.349.831,,5
Karachi,2011,Pakistán,25.300.000,,,22.123.000,,16.618.000,,21.142.625,,6
Manila,2010,Filipinas,24.600.000,,,24.123.000,,12.946.000,,1.652.171,,7
Bombay (incluyendo Kalyan y Vasai-Virar),2011,India,24.300.000,,,21.732.000,,21.043.000,,19.617.302,,8
Seúl (incluyendo Incheon y Suwon),2010,Corea del Sur,24.100.000,,,23.480.000,,10.558.000,,23.836.272,,9
Daca,2011,Bangladés,22.300.000,,,15.669.000,,17.598.000,,14.543.124,,10
Pekín,2010,China,20.700.000,,,21.009.000,,20.384.000,,16.446.857,,11
Osaka,2010,Japón,19.800.000,,,17.444.000,,20.238.000,,2.665.314,,12
Bangkok (incluyendo Samut Prakan),2010,Tailandia,16.700.000,,,14.998.000,,11.084.000,,8.986.218,,13
Calcuta,2011,India,15.900.000,,,14.667.000,,14.865.000,,14.057.991,,14
Teherán (incluyendo Karaj),2011,Irán,13.600.000,,,13.532.000,,10.239.000,,9.768.677,,15
Tianjin,2010,China,11.200.000,,,10.920.000,,11.210.000,,9.290.263,,16
Nagoya,2010,Japón,10.400.000,,,10.177.000,,9.406.000,,2.263.894,,17
Bangalore,2011,India,10.300.000,,,9.807.000,,10.087.000,,8.520.435,,18
Lahore,1998,Pakistán,9.950.000,,,10.052.000,,8.741.000,,5.143.495,,19
Madrás,2011,India,9.900.000,,,9.714.000,,9.890.000,,8.653.521,,20
Xiamen (incluyendl Quanzhou),2010,China,9.850.000,,,11.130.000,,5.825.000,,4.273.841,,21
Chengdu,2010,China,9.400.000,,,10.376.000,,7.556.000,,6.316.922,,22
Taipéi,,Taiwán,9.000.000,,,7.438.000,,2.666.000,,,,23
Hyderabad,2011,India,8.900.000,,,8.754.000,,8.942.000,,7.677.018,,24
Hangzhou (incluyendo Shaoxing),2010,China,8.150.000,,,9.625.000,,8.467.000,,6.887.819,,25
Ciudad Ho Chi Minh,2009,Vietnam,8.150.000,,,8.957.000,,7.298.000,,5.880.615,,26
Wuhan,2010,China,7.950.000,,,7.509.000,,7.906.000,,7.541.527,,27
"Shantou (incluyendo Chaozhou, Puning, Chaoyang y Chaonan)",2010,China,7.850.000,,,6.337.000,,6.287.000,,5.775.239,,28
Shenyang (incluyendo Fushun),2010,China,7.600.000,,,7.402.000,,7.613.000,,7.037.040,,29
Ahmedabad,2011,India,7.350.000,,,7.186.000,,7.343.000,,6.357.693,,30
Hong Kong,2011,Hong Kong,7.200.000,,,7.246.000,,7.314.000,,7.071.576,,31
Chongqing,2010,China,6.950.000,,,7.217.000,,13.332.000,,6.263.790,,32
Kuala Lumpur,2000,Malasia,6.950.000,,,7.088.000,,6.837.000,,1.305.792,,33
Singapur - Johor Bahru,2010 2000,Singapur Malasia,6.900.000,,,7.312.000,,6.531.000,,5.719.644,,34
Nankín,2010,China,6.750.000,,,6.155.000,,7.369.000,,5.827.888,,35
Bagdad,1987,Irak,6.750.000,,,6.625.000,,6.643.000,,3.841.268,,36
Riad,2010,Arabia Saudita,6.550.000,,,5.666.000,,6.370.000,,5.188.286,,37
Xi'an,2010,China,6.550.000,,,5.977.000,,6.044.000,,5.206.253,,38
Pune,2011,India,6.000.000,,,5.631.000,,5.728.000,,5.057.709,,39
Bandung,2010,Indonesia,5.900.000,,,5.695.000,,2.544.000,,2.394.873,,40
