Ciudad,Fecha,País,Citypopulation 2015,Demographia 2015,ONU 2015,Ultimo Censo,Posición en Tabla Inicial
Bhilai (incluyendo Raipur),2011.0,India,2500000.0,,,,23
Patna,2011.0,India,2450000.0,2200000.0,2210000.0,2049156.0,24
Coimbatore,2011.0,India,2425000.0,2481000.0,2549000.0,2136916.0,25
Gujranwala,1998.0,Pakistán,2400000.0,2120000.0,2122000.0,1132509.0,26
Hyderabad,1998.0,Pakistán,2400000.0,2920000.0,1772000.0,1166894.0,27
Bhopal,2011.0,India,2150000.0,2075000.0,2102000.0,1886100.0,28
Multan,1998.0,Pakistán,2125000.0,1900000.0,1921000.0,1197384.0,29
Vadodara,2011.0,India,2025000.0,1963000.0,1975000.0,1822221.0,30
Agra,2011.0,India,2025000.0,1938000.0,1966000.0,1760285.0,31
Chandigarh,2011.0,India,2000000.0,1124000.0,1134000.0,1026459.0,32
Visakhapatnam,2011.0,India,1950000.0,1910000.0,1935000.0,1728128.0,33
Peshawar,1998.0,Pakistán,1870000.0,1730000.0,1736000.0,982816.0,34
Ludhiāna,2011.0,India,1830000.0,1714000.0,1716000.0,1618879.0,35
Nashik,2011.0,India,1810000.0,1749000.0,1779000.0,1561809.0,36
Benarés,2011.0,India,1770000.0,1536000.0,1541000.0,1432280.0,37
Vijayawada,2011.0,India,1740000.0,1715000.0,1760000.0,1476931.0,38
Bhubaneswar,2011.0,India,1720000.0,984000.0,999000.0,885363.0,39
Rajkot,2011.0,India,1620000.0,1568000.0,1599000.0,1390640.0,40
Madurai,2011.0,India,1620000.0,1582000.0,1593000.0,1465625.0,41
Meerut,2011.0,India,1580000.0,1541000.0,1550000.0,1420902.0,42
Aurangabad,2011.0,India,1570000.0,1324000.0,1344000.0,1193167.0,43
Cochín,2011.0,India,1530000.0,2374000.0,2416000.0,2119742.0,44
Jamshedpur,2011.0,India,1530000.0,1443000.0,1451000.0,1339438.0,45
Kolhapur,2011.0,India,1520000.0,593000.0,591000.0,561837.0,46
Asansol,2011.0,India,1490000.0,1315000.0,1313000.0,1243414.0,47
Srinagar,2011.0,India,1430000.0,1409000.0,1429000.0,1264202.0,48
Jabalpur,2011.0,India,1380000.0,1339000.0,1367000.0,1268848.0,49
Allahabad,2011.0,India,1360000.0,1294000.0,1295000.0,1212395.0,50
Jodhpur,2011.0,India,1300000.0,1266000.0,1284000.0,1138300.0,51
Amritsar,2011.0,India,1300000.0,1264000.0,1265000.0,1183549.0,52
Dhanbad,2011.0,India,1290000.0,1258000.0,1255000.0,1196214.0,53
Ranchi,2011.0,India,1270000.0,1246000.0,1262000.0,1120374.0,54
Tirupur,2011.0,India,1260000.0,1177000.0,1230000.0,963173.0,55
Gwalior,2011.0,India,1260000.0,1208000.0,1221000.0,1117740.0,56
Kotah,2011.0,India,1180000.0,1138000.0,1163000.0,1001964.0,57
Quetta,1998.0,Pakistán,1160000.0,1100000.0,1109000.0,565137.0,58
Bareilly,2011.0,India,1150000.0,1094000.0,1111000.0,985752.0,59
Thiruvananthapuram,2011.0,India,1120000.0,1921000.0,1965000.0,1679754.0,60
Tiruchirappalli,2011.0,India,1120000.0,1101000.0,1106000.0,1022518.0,61
Mysore,2011.0,India,1110000.0,1078000.0,1082000.0,990900.0,62
Aligarh,2011.0,India,1080000.0,1020000.0,1037000.0,911223.0,63
Moradabad,2011.0,India,1080000.0,1004000.0,1023000.0,887871.0,64
Khulna,2011.0,Bangladés,1070000.0,1000000.0,1022000.0,1046341.0,65
Guwahati,2011.0,India,1050000.0,1039000.0,1042000.0,962334.0,66
Hubli - Dharwad,2011.0,India,1040000.0,613000.0,1020000.0,943788.0,67
Solapur,2011.0,India,1030000.0,991000.0,986000.0,951558.0,68
Salem,2011.0,India,1020000.0,996000.0,1003000.0,917414.0,69
Jalandhar,2011.0,India,1020000.0,948000.0,954000.0,874412.0,70
"Cantón (incluyendo Dongguan, Foshan, Jiangmen, Shenzhen y Zhongshan)",2010.0,China,46900000.0,,,,1
Tokio,2010.0,Japón,39500000.0,37843000.0,38001000.0,,2
Shanghái (incluyendo Suzhou y Kunshan),2010.0,China,30400000.0,,,,3
Seúl (incluyendo Incheon y Suwon),2010.0,Corea del Sur,24300000.0,23480000.0,,23836272.0,4
Pekín,2010.0,China,20700000.0,21009000.0,20384000.0,16446857.0,5
Osaka,2010.0,Japón,17800000.0,17444000.0,20238000.0,,6
Tianjin,2010.0,China,11200000.0,10920000.0,11210000.0,9290263.0,7
Nagoya,2010.0,Japón,10400000.0,10177000.0,9406000.0,,8
Xiamen (incluyendo Quanzhou),2010.0,China,9850000.0,,,,9
Chengdu,2010.0,China,9400000.0,10376000.0,7556000.0,6316922.0,10
Taipéi,,Taiwán,9000000.0,7438000.0,2666000.0,,11
Hangzhou (incluyendo Shaoxing),2010.0,China,8150000.0,,,6887819.0,12
Wuhan,2010.0,China,7950000.0,7509000.0,7906000.0,7541527.0,13
"Shantou (incluyendo Chaozhou, Puning, Chaoyang y Chaonan)",2010.0,China,7850000.0,,,,14
Shenyang (incluyendo Fushun),2010.0,China,7600000.0,,,7037040.0,15
Hong Kong,2011.0,Hong Kong,7200000.0,7246000.0,7314000.0,7071576.0,16
Chongqing,2010.0,China,6950000.0,7217000.0,13332000.0,6263790.0,17
Nankín,2010.0,China,6750000.0,6155000.0,7369000.0,5827888.0,18
Xi'an,2010.0,China,6550000.0,5977000.0,6044000.0,5206253.0,19
Wenzhou (incluyendo Rui'an),2010.0,China,5800000.0,,3208000.0,,20
Qingdao,2010.0,China,5650000.0,5816000.0,4566000.0,3990942.0,21
Harbin,2010.0,China,5100000.0,4815000.0,5457000.0,4596313.0,22
Zhengzhou,2010.0,China,4600000.0,4942000.0,4387000.0,3677032.0,24
Hefei,2010.0,China,4475000.0,3665000.0,3348000.0,3098727.0,25
Dalian,2010.0,China,4425000.0,4183000.0,4489000.0,3902467.0,26
Changsha,2010.0,China,4375000.0,3657000.0,3761000.0,3193354.0,27
Busán,2010.0,Corea del Sur,4250000.0,3906000.0,3216000.0,3414950.0,28
Taiyuan,2010.0,China,4150000.0,3702000.0,3482000.0,3154157.0,29
Kunming,2010.0,China,3925000.0,3649000.0,3780000.0,3278777.0,30
Jinan,2010.0,China,3900000.0,3789000.0,4032000.0,3527566.0,31
Fuzhou,2010.0,China,3875000.0,3962000.0,3283000.0,2824414.0,32
Shijiazhuang,2010.0,China,3775000.0,3367000.0,3264000.0,2770344.0,33
Changchun,2010.0,China,3675000.0,3368000.0,3762000.0,3411209.0,34
Nanchang,2010.0,China,3600000.0,2637000.0,2527000.0,2223661.0,35
Ürümqi,2010.0,China,3550000.0,3184000.0,3499000.0,2853398.0,36
Ningbo,2010.0,China,3300000.0,3753000.0,3132000.0,2580073.0,37
Zibo,2010.0,China,3300000.0,1646000.0,2430000.0,2261717.0,38
Wuxi,2010.0,China,3225000.0,3597000.0,3049000.0,2757736.0,39
Nanning,2010.0,China,3150000.0,2590000.0,3234000.0,2660833.0,40
Guiyang,2010.0,China,2850000.0,2955000.0,2871000.0,2520061.0,41
Lanzhou,2010.0,China,2825000.0,2703000.0,2723000.0,2438595.0,42
Pionyang,2008.0,Corea del Norte,2800000.0,2850000.0,2863000.0,2581076.0,43
Kaohsiung,,Taiwán,2775000.0,2599000.0,1523000.0,,44
Huizhou,2010.0,China,2750000.0,1763000.0,2312000.0,1807858.0,45
Daegu,2010.0,Corea del Sur,2750000.0,2382000.0,2244000.0,2446418.0,46
Changzhou,2010.0,China,2625000.0,3425000.0,2584000.0,2257376.0,47
Jiangyin,2010.0,China,2625000.0,3056000.0,686000.0,1013670.0,48
Xuzhou,2010.0,China,2525000.0,1301000.0,1918000.0,2214795.0,49
Anshan,2010.0,China,2500000.0,1516000.0,1559000.0,1504996.0,50
Sapporo,2010.0,Japón,2475000.0,2570000.0,2571000.0,,51
Tangshan,2010.0,China,2425000.0,2378000.0,2743000.0,2128191.0,53
Taichung,,Taiwán,2350000.0,2935000.0,1225000.0,,54
Okayama,2010.0,Japón,2200000.0,707000.0,502000.0,,55
Baotou,2010.0,China,2125000.0,2159000.0,1957000.0,1900373.0,56
Yantai,2010.0,China,2075000.0,1520000.0,2114000.0,1797871.0,57
Taizhou (incluyendo Wenling),2010.0,China,2050000.0,,1648000.0,,58
Cixi,2010.0,China,2050000.0,1490000.0,1303000.0,1059942.0,59
Luoyang,2010.0,China,1940000.0,1939000.0,2015000.0,1584463.0,60
Nantong,2010.0,China,1910000.0,1184000.0,1978000.0,1612385.0,61
Liuzhou,2010.0,China,1890000.0,1574000.0,1619000.0,1410712.0,62
Hiroshima,2010.0,Japón,1870000.0,1377000.0,2173000.0,,63
Huai'an,2010.0,China,1840000.0,2282000.0,2000000.0,1523655.0,64
Haikou,2010.0,China,1770000.0,1981000.0,1903000.0,1517410.0,65
Yangzhou,2010.0,China,1760000.0,1561000.0,1765000.0,1077531.0,66
Hohhot,2010.0,China,1750000.0,2219000.0,1785000.0,1497110.0,67
Huainan,2010.0,China,1740000.0,1142000.0,1327000.0,1238488.0,68
Linyi,2010.0,China,1700000.0,2465000.0,1706000.0,1522488.0,69
Hengyang,2010.0,China,1680000.0,987000.0,1301000.0,1115645.0,70
Daejeon,2010.0,Corea del Sur,1600000.0,1564000.0,1564000.0,1501859.0,71
Weifang (incluyendo Zhucheng),2010.0,China,1590000.0,,2195000.0,,72
Baoding,2010.0,China,1590000.0,1297000.0,1106000.0,1038195.0,73
Gwangju,2010.0,Corea del Sur,1580000.0,1601000.0,1536000.0,1475745.0,74
Daqing,2010.0,China,1550000.0,983000.0,1621000.0,1433698.0,75
Xiangyang,2010.0,China,1550000.0,1183000.0,1533000.0,1433057.0,76
Yiwu,2010.0,China,1550000.0,1704000.0,1080000.0,878973.0,77
Zhuhai,2010.0,China,1540000.0,1547000.0,1542000.0,1369538.0,78
Datong,2010.0,China,1510000.0,1709000.0,1532000.0,1362314.0,79
Yinchuan,2010.0,China,1500000.0,1614000.0,1596000.0,1159457.0,80
Jilin,2010.0,China,1500000.0,1633000.0,1520000.0,1469722.0,81
Sendai,2010.0,Japón,1480000.0,1277000.0,2091000.0,,82
Jiaozuo,2010.0,China,1350000.0,809000.0,732000.0,702527.0,83
Handan,2010.0,China,1340000.0,2000000.0,1634000.0,919295.0,84
Putian,2010.0,China,1340000.0,1468000.0,1438000.0,1107199.0,85
Xiangtan,2010.0,China,1320000.0,1007000.0,1010000.0,903287.0,86
Xining,2010.0,China,1310000.0,1345000.0,1323000.0,1153417.0,87
Huaibei,2010.0,China,1300000.0,1116000.0,981000.0,854696.0,88
Tainan,,Taiwán,1300000.0,1216000.0,815000.0,,89
Xinxiang,2010.0,China,1290000.0,1074000.0,991000.0,918078.0,90
Wuhu,2010.0,China,1280000.0,1456000.0,1424000.0,1108087.0,91
Ulán Bator,2010.0,Mongolia,1280000.0,1237000.0,1377000.0,1144954.0,92
Xingtai,2010.0,China,1280000.0,749000.0,742000.0,668765.0,93
Yancheng,2010.0,China,1240000.0,935000.0,1436000.0,1136826.0,94
Taian,2010.0,China,1220000.0,817000.0,1220000.0,1123541.0,95
Guilin,2010.0,China,1190000.0,949000.0,1040000.0,963629.0,96
Zhangjiakou,2010.0,China,1180000.0,1156000.0,983000.0,924628.0,97
Naha,2010.0,Japón,1180000.0,1007000.0,321000.0,,98
Mianyang,2010.0,China,1160000.0,585000.0,1065000.0,967006.0,99
Zhanjiang,2010.0,China,1150000.0,1042000.0,1149000.0,1038762.0,100
Bengbu,2010.0,China,1150000.0,961000.0,842000.0,793866.0,101
Kumamoto,2010.0,Japón,1150000.0,697000.0,601000.0,,102
Yichang,2010.0,China,1140000.0,1039000.0,1264000.0,1049363.0,103
Qingyuan,2010.0,China,1130000.0,588000.0,694000.0,916453.0,104
Ulsan,2010.0,Corea del Sur,1120000.0,900000.0,904000.0,1082567.0,105
Zunyi,2010.0,China,1120000.0,108000.0,803000.0,715148.0,106
Maanshan,2010.0,China,1110000.0,827000.0,858000.0,657847.0,107
Qinhuangdao,2010.0,China,1100000.0,1041000.0,1109000.0,967877.0,108
Changshu,2010.0,China,1100000.0,1344000.0,726000.0,929124.0,109
Changwon,2010.0,Corea del Sur,1090000.0,990000.0,1039000.0,1058021.0,110
Cangnan,2010.0,China,1090000.0,823000.0,,648219.0,111
Zhuzhou,2010.0,China,1080000.0,1007000.0,1083000.0,999404.0,112
Maoming,2010.0,China,1080000.0,619000.0,609000.0,1033196.0,113
Benxi,2010.0,China,1070000.0,888000.0,1070000.0,1000128.0,114
Qiqihar,2010.0,China,1060000.0,1241000.0,1452000.0,1314720.0,115
Lianyungang,2010.0,China,1060000.0,1128000.0,1099000.0,897393.0,116
Zhenjiang,2010.0,China,1050000.0,969000.0,1050000.0,950516.0,117
Kaifeng,2010.0,China,1040000.0,633000.0,804000.0,725573.0,118
Rizhao,2010.0,China,1040000.0,937000.0,1062000.0,902272.0,119
Nanchong,2010.0,China,1030000.0,692000.0,1050000.0,890402.0,120
Jinzhou,2010.0,China,1030000.0,922000.0,1035000.0,946098.0,121
Chifeng,2010.0,China,1020000.0,1230000.0,1018000.0,902285.0,122
Fuji,2010.0,Japón,1010000.0,718000.0,,,123
Nanyang,2010.0,China,1000000.0,731000.0,1011000.0,899899.0,124
Wanzhou,2010.0,China,1000000.0,582000.0,,849662.0,125
Yakarta (incluyendo Bogor),2010.0,Indonesia,27700000.0,30539000.0,,,1
Manila,2010.0,Filipinas,23100000.0,24123000.0,12946000.0,,2
Bangkok (incluyendo Samut Prakan),2010.0,Tailandia,16700000.0,14998000.0,11084000.0,,3
Ciudad Ho Chi Minh,2009.0,Vietnam,8150000.0,8957000.0,7298000.0,5880615.0,4
Kuala Lumpur,2000.0,Malasia,6950000.0,7088000.0,6837000.0,,5
Singapur - Johor Bahru,,Singapur Malasia,6900000.0,,,,6
Bandung,2010.0,Indonesia,5900000.0,5695000.0,2544000.0,,7
Rangún,2014.0,Birmania,5100000.0,4800000.0,4802000.0,4728524.0,8
Surabaya,2010.0,Indonesia,4675000.0,4881000.0,2853000.0,,9
Medan,2010.0,Indonesia,3400000.0,3942000.0,2204000.0,,10
Hanói,2009.0,Vietnam,2925000.0,3715000.0,3629000.0,2316772.0,11
Cebú,2010.0,Filipinas,2250000.0,2535000.0,951000.0,,12
Semarang,2010.0,Indonesia,2025000.0,1630000.0,1630000.0,1520481.0,13
Nom Pen,2008.0,Camboya,1830000.0,1729000.0,1731000.0,1416582.0,14
Makasar,2010.0,Indonesia,1760000.0,1484000.0,1489000.0,1331391.0,15
Palembang,2010.0,Indonesia,1680000.0,1434000.0,1455000.0,1440678.0,16
George Town,2000.0,Malasia,1530000.0,1336000.0,,,17
Denpasar,2010.0,Indonesia,1470000.0,1175000.0,1107000.0,,18
Malang,2010.0,Indonesia,1410000.0,1114000.0,856000.0,820243.0,19
Mandalay,2014.0,Birmania,1390000.0,1160000.0,1167000.0,1225546.0,20
Davao,2010.0,Filipinas,1330000.0,1630000.0,1630000.0,,21
Yogyakarta,2010.0,Indonesia,1270000.0,1831000.0,385000.0,,22
Chonburi,2010.0,Tailandia,1230000.0,665000.0,518000.0,,23
Surakarta,2010.0,Indonesia,1210000.0,1318000.0,504000.0,,24
Batam,2010.0,Indonesia,1160000.0,1142000.0,1391000.0,917998.0,25
Pekanbaru,2010.0,Indonesia,1160000.0,1100000.0,1121000.0,882045.0,26
Serang,2010.0,Indonesia,1090000.0,564000.0,,,27
Bandar Lampung,2010.0,Indonesia,1080000.0,909000.0,965000.0,873007.0,28
Ángeles,2010.0,Filipinas,1060000.0,883000.0,363000.0,,29
Londres,2011.0,Reino Unido,14300000.0,10236000.0,10313000.0,11140445.0,1
París,1999.0,Francia,11200000.0,10858000.0,10843000.0,9738809.0,2
Madrid,2011.0,España,6400000.0,6171000.0,6199000.0,,3
Región del Ruhr [n 7]​,,Alemania,5600000.0,,,,4
Milán,2011.0,Italia,5150000.0,5257000.0,3099000.0,,5
Colonia - Düsseldorf,2011.0,Alemania,4825000.0,,,,6
Barcelona,2011.0,España,4700000.0,4693000.0,5258000.0,,7
Berlín,2011.0,Alemania,4450000.0,4069000.0,3563000.0,,8
Nápoles,2011.0,Italia,4225000.0,3706000.0,2202000.0,,9
Atenas,2011.0,Grecia,3600000.0,3484000.0,3052000.0,3168846.0,10
Roma,2011.0,Italia,3550000.0,3906000.0,3718000.0,,11
Birmingham,2011.0,Reino Unido,3100000.0,2512000.0,2515000.0,2697168.0,12
Róterdam,2001.0,Países Bajos,3100000.0,2660000.0,993000.0,,13
Fráncfort del Meno,2011.0,Alemania,3100000.0,1915000.0,715000.0,,14
Mánchester,2011.0,Reino Unido,3000000.0,2639000.0,2646000.0,2637335.0,15
Hamburgo,2011.0,Alemania,2750000.0,2087000.0,1831000.0,,16
Lisboa,2001.0,Portugal,2600000.0,2666000.0,2884000.0,,17
Ámsterdam,2001.0,Países Bajos,2375000.0,1624000.0,1091000.0,,18
Stuttgart,2011.0,Alemania,2300000.0,1379000.0,626000.0,,19
Múnich,2011.0,Alemania,2175000.0,1981000.0,1438000.0,,20
Viena,2011.0,Austria,2125000.0,1763000.0,1753000.0,2015580.0,21
Leeds,2011.0,Reino Unido,2125000.0,1893000.0,1912000.0,2058861.0,22
Estocolmo,,Suecia,2075000.0,1484000.0,1486000.0,,23
Bruselas,,Bélgica,2000000.0,2089000.0,2045000.0,,24
Lyon,1999.0,Francia,1920000.0,1583000.0,1609000.0,1428998.0,25
