name,aliases,titles,born,died,gender,culture,father,mother,books,Books Apperences
Nymeria,['Nymeria of the Rhoyne'],"['Princess', 'Queen']",,,Female,Rhoynar,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Walder Frey,"['The Late Lord Frey', 'Old Frey']",['Lord of the Crossing'],In 208 AC,,Male,Rivermen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8']",6
Viserys Targaryen,"['The Beggar King', 'Khal Rhaggat (The Cart King)']","['King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm']","In 276 AC, at King's Landing","In 298 AC, at Vaes Dothrak",Male,Valyrian,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Gerion Lannister,['Gery'],['Has no title'],In 255 AC,In circa 291 AC,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Aerys II,"['The Mad King', 'King Scab']","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","244 AC, at King's Landing","283 AC, at the Red Keep in King's Landing",Male,,https://www.anapioficeandfire.com/api/characters/527,https://www.anapioficeandfire.com/api/characters/971,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Tywin Lannister,"['The Lion of Lannister', 'The Old Lion', 'The Great Lion of the Rock']","['Lord of Casterly Rock', 'Shield of Lannisport', 'Warden of the West', 'Hand of the King', ""Savior of the City (of King's Landing)""]",In 242 AC,"In 300 AC, at King's Landing",Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Baelor I,"['Baelor the Beloved', 'Baelor the Blessed', 'Baelor the Befuddled']","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","144 AC, at King's Landing","171 AC, at King's Landing",Male,,https://www.anapioficeandfire.com/api/characters/40,https://www.anapioficeandfire.com/api/characters/1302,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Robert I Baratheon,"['The Usurper', 'Demon of the Trident', 'The Whoremonger King']","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm', 'Ser[1]']","262 AC, at Storm's End","298 AC, at King's Landing",Male,,https://www.anapioficeandfire.com/api/characters/986,https://www.anapioficeandfire.com/api/characters/230,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Arthur Dayne,['Has no known aliases'],"['Ser', 'Sword of the Morning']",,"In 283 AC, at the Tower of Joy",Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Aegon III,"['Aegon the Younger', 'Aegon the Dragonbane', 'Aegon the Unlucky', 'The Broken King']","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","120 AC, at Dragonstone","157 AC, at King's Landing",Male,Valyrian,https://www.anapioficeandfire.com/api/characters/269,https://www.anapioficeandfire.com/api/characters/874,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",6
Myrielle Lannister,['Has no known aliases'],['Has no title'],,,Female,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Jon Arryn,['Has no known aliases'],"['Lord of the Eyrie', 'Defender of the Vale', 'Warden of the East', 'Hand of the King']","In or between 217 AC and 220 AC (roughly), at the Eyrie","In 298 AC, at King's Landing",Male,Valemen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Visenya Targaryen,['Has no known aliases'],"['Queen', 'Dowager Queen']","In 28BC or 29BC, at Dragonstone",In 44 AC,Female,Valyrian,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Daeron I,"['The Young Dragon', 'The Boy King']","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","143 AC, at King's Landing","161 AC, at Dorne",Male,,https://www.anapioficeandfire.com/api/characters/40,https://www.anapioficeandfire.com/api/characters/1302,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Cerenna Lannister,['Has no known aliases'],['Has no title'],,,Female,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Harys Swyft,['Has no known aliases'],"['Knight of Cornfield', 'Hand of the Kinr', 'Master of coig', 'Lord treasurern']",,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
Aegon II,"['Aegon the Elder', 'Aegon the Usurper']","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","107 AC, at King's Landing","131 AC, at King's Landing",Male,,https://www.anapioficeandfire.com/api/characters/1076,https://www.anapioficeandfire.com/api/characters/76,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",6
Harren Hoare,"['Harren the Black', 'Black Harren']",['King of the Isles and the Rivers'],,"2 BC, at Harrenhal",Male,Ironborn,https://www.anapioficeandfire.com/api/characters/460,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/11']",5
Syrio Forel,['Has no known aliases'],['First Sword to the Sealord of Braavos\nWater Dancer'],At Braavos,"In 298 AC, at King's Landing",Male,Braavosi,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Caleotte,['Has no known aliases'],['Maester'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Morton Waynwood,['Has no known aliases'],['Ser'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Varys,"['The Spider', 'The Eunuch', 'Rugen', 'Varys of Lys']",['Master of Whisperers'],At Lys,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Tion Frey,['Has no known aliases'],['Has no title'],In or between 279 AC and 284 AC,"In 299 AC, at Riverrun",Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Harrion Karstark,['Harry'],['Lord of Karhold'],At Karhold,,Male,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Cellador,['Has no known aliases'],['Septon'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Mord,['Has no known aliases'],['Has no title'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Jeyne Poole,['Arya Stark'],['Has no title'],At Winterfell,,Female,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Jeor Mormont,['The Old Bear'],"['Lord of Bear Island (formerly)', ""Lord Commander of the Night's Watch""]",In 230 AC,"In 299 AC, at Craster's Keep",Male,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Denys Mallister,['Has no known aliases'],['Ser'],"In 245 AC or before, at Seagard",,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Brynden Tully,"['Blackfish', 'Ser Brynden the Blackfish', 'Brynden Blackfish']","['Ser', 'Warden of the Southern Marches', 'Knight of the Gate (formerly)']",In or between 242 AC and 245 AC,,Male,Rivermen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Bronn,"['Ser Bronn of the Blackwater', 'Lord Stokeworth']","['Ser', 'Lord Protector of Stokeworth']",In or between 264 AC and 268 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Cleos Frey,['Has no known aliases'],['Ser'],"In or between 258 AC and 275 AC, at Casterly Rock","In 299 AC, at Riverlands",Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Moon Boy,['Has no known aliases'],['Has no title'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Clydas,['Has no known aliases'],['Has no title'],In 240 AC or before,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Colemon,['Has no known aliases'],['Maester'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Grenn,['Aurochs'],['Has no title'],In 281 AC or 282 AC,,Male,Westeros,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Gyles Rosby,['The Cougher'],"['Lord of Rosby', 'Lord Treasurer', 'Master of Coin']",,"In 300 AC, at King's Landing",Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Hobber Redwyne,['Slobber'],['Ser'],At the Arbor,,Male,Reach,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Mikken,['Has no known aliases'],['Has no title'],,"In 299 AC, at Winterfell",Male,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Nestor Royce,['Has no known aliases'],"['Keeper of the Gates of the Moon', 'High Steward of the Vale']",,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Jared Frey,['Has no known aliases'],['Ser'],At 248 AC or 249 AC,In 300 AC (suspected),Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Jason Mallister,['Has no known aliases'],['Lord of Seagard'],At Seagard,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Hoster Tully,['Has no known aliases'],"['Lord Paramount of the Trident', 'Lord of Riverrun']",In or between 237 AC and 240 AC,"In 299 AC, at Riverrun",Male,Rivermen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Edmure Tully,['Has no known aliases'],"['Ser', 'Lord of Riverrun (lost to Emmon Frey)']",In or between 267 AC and 274 AC,,Male,Rivermen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Donnel Waynwood,['Has no known aliases'],"['Ser', 'Knight of the Gate']",In 277 AC or 278 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Hosteen Frey,['Ser Stupid'],['Ser'],In or between 250 AC and 258 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Janna Tyrell,['Has no known aliases'],['Has no title'],,,Female,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Janei Lannister,['Has no known aliases'],['Has no title'],In 296 AC or 297 AC,,Female,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Brandon Stark,['Bran the Builder'],['King of Winter'],,,Male,First Men,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",5
Horas Redwyne,['Horror'],['Ser'],At the Arbor,,Male,Reach,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Ilyn Payne,['Has no known aliases'],"[""Ser King's Justice""]",,,Male,Westeros,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Nan,['Old Nan'],['Has no title'],,,Female,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Igon Vyrwel,['Has no known aliases'],['Has no title'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Stannis Baratheon,"['The King in the Narrow Sea', 'The King of the Painted Table', 'The King of Dragonstone', 'The King at the Wall', 'Azor Ahai reborncome again']","['Master of ships (formerly)', 'Lord of Dragonstone', ""Lord of Storm's End"", 'Lord Paramount of the Stormlands', 'King of Westeros']",264 AC,,Male,,https://www.anapioficeandfire.com/api/characters/986,https://www.anapioficeandfire.com/api/characters/230,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Howland Reed,['Has no known aliases'],['Lord of Greywater Watch'],"In or between 260 AC and 265 AC, at Greywater Watch",,Male,Crannogmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
