,geometry.coordinates,geometry.type,id,properties.alert,properties.cdi,properties.code,properties.detail,properties.dmin,properties.felt,properties.gap,properties.ids,properties.mag,properties.magType,properties.mmi,properties.net,properties.nst,properties.place,properties.rms,properties.sig,properties.sources,properties.status,properties.time,properties.title,properties.tsunami,properties.type,properties.types,properties.tz,properties.updated,properties.url,type
10,"[-173.8936, -20.734, 10]",Point,us7000469v,,3.8,7000469v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000469v&format=geojson,4.08,1.0,48.0,",us7000469v,",5.2,mb,,us,,"113km SSE of Pangai, Tonga",1.67,416,",us,",reviewed,1561669104977,"M 5.2 - 113km SSE of Pangai, Tonga",0,earthquake,",dyfi,geoserve,origin,phase-data,",-720,1561670208474,https://earthquake.usgs.gov/earthquakes/eventpage/us7000469v,Feature
11,"[138.4154, -2.7169, 10]",Point,us7000469g,,,7000469g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000469g&format=geojson,6.162,,36.0,",us7000469g,",5.0,mb,,us,,"241km W of Abepura, Indonesia",1.06,385,",us,",reviewed,1561668315742,"M 5.0 - 241km W of Abepura, Indonesia",1,earthquake,",geoserve,origin,phase-data,",540,1561669478040,https://earthquake.usgs.gov/earthquakes/eventpage/us7000469g,Feature
12,"[138.2085, -2.6954, 19.8]",Point,us700045wd,,,700045wd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700045wd&format=geojson,5.956,,71.0,",us700045wd,",5.1,mb,,us,,"246km ENE of Enarotali, Indonesia",1.26,400,",us,",reviewed,1561639716577,"M 5.1 - 246km ENE of Enarotali, Indonesia",1,earthquake,",geoserve,origin,phase-data,",540,1561641653040,https://earthquake.usgs.gov/earthquakes/eventpage/us700045wd,Feature
13,"[-179.2332, -30.3859, 10]",Point,us700045vh,green,,700045vh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700045vh&format=geojson,1.605,,56.0,",us700045vh,",6.3,mww,6.216,us,,"120km NNW of L'Esperance Rock, New Zealand",1.22,611,",us,",reviewed,1561633497020,"M 6.3 - 120km NNW of L'Esperance Rock, New Zealand",0,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",-720,1561738198040,https://earthquake.usgs.gov/earthquakes/eventpage/us700045vh,Feature
14,"[164.308, 56.1951, 10]",Point,us700045r4,green,,700045r4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700045r4&format=geojson,4.573,,74.0,",us700045r4,",5.7,mww,4.231,us,,"113km E of Ust'-Kamchatsk Staryy, Russia",1.04,500,",us,",reviewed,1561609248784,"M 5.7 - 113km E of Ust'-Kamchatsk Staryy, Russia",0,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",660,1561695835871,https://earthquake.usgs.gov/earthquakes/eventpage/us700045r4,Feature
15,"[105.6611, 84.4877, 10]",Point,us700045mr,,,700045mr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700045mr&format=geojson,12.765,,39.0,",ak019853bozg,us700045mr,",5.1,mb,,us,,North of Severnaya Zemlya,0.69,400,",ak,us,",reviewed,1561587178376,M 5.1 - North of Severnaya Zemlya,0,earthquake,",geoserve,origin,phase-data,",420,1561588302040,https://earthquake.usgs.gov/earthquakes/eventpage/us700045mr,Feature
16,"[-177.2946, -31.0124, 10]",Point,us700045f8,,,700045f8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700045f8&format=geojson,1.845,,64.0,",us700045f8,",5.3,mww,,us,,"159km ENE of L'Esperance Rock, New Zealand",1.02,432,",us,",reviewed,1561572389664,"M 5.3 - 159km ENE of L'Esperance Rock, New Zealand",0,earthquake,",geoserve,origin,phase-data,",-720,1561573556040,https://earthquake.usgs.gov/earthquakes/eventpage/us700045f8,Feature
17,"[-82.7677, 8.449, 26.22]",Point,us7000455l,yellow,8.7,7000455l,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000455l&format=geojson,0.351,647.0,42.0,",us7000455l,",6.2,mww,7.29,us,,"5km SE of Aserrio de Gariche, Panama",1.23,1213,",us,",reviewed,1561526630890,"M 6.2 - 5km SE of Aserrio de Gariche, Panama",0,earthquake,",dyfi,general-link,general-text,geoserve,ground-failure,losspager,moment-tensor,origin,phase-data,shakemap,",-300,1562449676190,https://earthquake.usgs.gov/earthquakes/eventpage/us7000455l,Feature
18,"[157.7469, -9.536, 12.44]",Point,us7000453l,green,,7000453l,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000453l&format=geojson,2.173,,38.0,",us7000453l,",5.7,mww,3.859,us,,"187km SSE of Gizo, Solomon Islands",0.61,500,",us,",reviewed,1561519095324,"M 5.7 - 187km SSE of Gizo, Solomon Islands",0,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",660,1561605606915,https://earthquake.usgs.gov/earthquakes/eventpage/us7000453l,Feature
19,"[164.1101, 56.1779, 10]",Point,us7000451w,green,,7000451w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000451w&format=geojson,4.479,,15.0,",us7000451w,",6.3,mww,5.422,us,,"101km E of Ust'-Kamchatsk Staryy, Russia",0.92,611,",us,",reviewed,1561515487857,"M 6.3 - 101km E of Ust'-Kamchatsk Staryy, Russia",0,earthquake,",geoserve,ground-failure,losspager,moment-tensor,origin,phase-data,shakemap,",660,1562803562326,https://earthquake.usgs.gov/earthquakes/eventpage/us7000451w,Feature
20,"[164.1836, 56.208, 10]",Point,us600045mz,green,2.7,600045mz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600045mz&format=geojson,4.53,1.0,55.0,",us600045mz,pt19176001,at00ptn9l9,",6.3,mww,5.294,us,,"105km E of Ust'-Kamchatsk Staryy, Russia",1.07,611,",us,pt,at,",reviewed,1561453540871,"M 6.3 - 105km E of Ust'-Kamchatsk Staryy, Russia",1,earthquake,",dyfi,geoserve,ground-failure,impact-link,losspager,moment-tensor,origin,phase-data,shakemap,",660,1561540401422,https://earthquake.usgs.gov/earthquakes/eventpage/us600045mz,Feature
21,"[99.6309, -48.0161, 10]",Point,us600045lr,green,,600045lr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600045lr&format=geojson,19.187,,50.0,",us600045lr,",5.8,mww,0.0,us,,Southeast Indian Ridge,1.21,518,",us,",reviewed,1561442509444,M 5.8 - Southeast Indian Ridge,0,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",420,1561529010877,https://earthquake.usgs.gov/earthquakes/eventpage/us600045lr,Feature
22,"[138.5518, -2.6722, 29.9]",Point,us600045j5,,,600045j5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600045j5&format=geojson,2.156,,29.0,",us600045j5,",5.0,mb,,us,,"225km W of Abepura, Indonesia",0.59,385,",us,",reviewed,1561415988067,"M 5.0 - 225km W of Abepura, Indonesia",1,earthquake,",geoserve,origin,phase-data,",540,1562636650040,https://earthquake.usgs.gov/earthquakes/eventpage/us600045j5,Feature
23,"[-25.3922, -57.9887, 26]",Point,us600045dg,green,,600045dg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600045dg&format=geojson,16.271,,31.0,",us600045dg,",5.5,mww,3.349,us,,"133km NNE of Bristol Island, South Sandwich Islands",0.75,465,",us,",reviewed,1561404096147,"M 5.5 - 133km NNE of Bristol Island, South Sandwich Islands",0,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",-120,1563319808967,https://earthquake.usgs.gov/earthquakes/eventpage/us600045dg,Feature
24,"[138.4321, -2.7418, 10]",Point,us600045bc,green,,600045bc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600045bc&format=geojson,2.281,,23.0,",us600045bc,",5.5,mww,6.343,us,,"239km W of Abepura, Indonesia",1.14,465,",us,",reviewed,1561397713641,"M 5.5 - 239km W of Abepura, Indonesia",1,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",540,1563319720024,https://earthquake.usgs.gov/earthquakes/eventpage/us600045bc,Feature
25,"[138.4056, -2.6507, 19.08]",Point,us700049fa,green,,700049fa,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700049fa&format=geojson,2.3,,37.0,",us700049fa,",5.7,mb,6.091,us,,"242km W of Abepura, Indonesia",0.75,500,",us,",reviewed,1561395251883,"M 5.7 - 242km W of Abepura, Indonesia",1,earthquake,",geoserve,losspager,origin,phase-data,shakemap,",540,1562526965933,https://earthquake.usgs.gov/earthquakes/eventpage/us700049fa,Feature
26,"[138.4384, -2.6836, 10]",Point,us600045am,green,,600045am,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600045am&format=geojson,2.269,,37.0,",us600045am,",5.7,mb,6.328,us,,"238km W of Abepura, Indonesia",0.79,500,",us,",reviewed,1561395199971,"M 5.7 - 238km W of Abepura, Indonesia",1,earthquake,",geoserve,losspager,origin,phase-data,shakemap,",540,1562524641972,https://earthquake.usgs.gov/earthquakes/eventpage/us600045am,Feature
27,"[-177.3775, -30.8424, 10]",Point,us6000456p,green,,6000456p,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000456p&format=geojson,13.686,,58.0,",us6000456p,",5.9,mww,0.0,us,,"159km ENE of L'Esperance Rock, New Zealand",1.15,536,",us,",reviewed,1561376048744,"M 5.9 - 159km ENE of L'Esperance Rock, New Zealand",0,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",-720,1561462552113,https://earthquake.usgs.gov/earthquakes/eventpage/us6000456p,Feature
28,"[138.562, -2.7079, 10]",Point,us6000454y,,,6000454y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000454y&format=geojson,8.821,,59.0,",us6000454y,",5.0,mb,,us,,"224km W of Abepura, Indonesia",0.84,385,",us,",reviewed,1561360785785,"M 5.0 - 224km W of Abepura, Indonesia",1,earthquake,",geoserve,origin,phase-data,",540,1561362029040,https://earthquake.usgs.gov/earthquakes/eventpage/us6000454y,Feature
29,"[138.4385, -2.6651, 10]",Point,us6000453n,,,6000453n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000453n&format=geojson,8.941,,56.0,",us6000453n,",5.3,mb,,us,,"238km W of Abepura, Indonesia",1.29,432,",us,",reviewed,1561353349386,"M 5.3 - 238km W of Abepura, Indonesia",1,earthquake,",geoserve,origin,phase-data,",540,1561354571040,https://earthquake.usgs.gov/earthquakes/eventpage/us6000453n,Feature
30,"[138.5377, -2.6194, 22.24]",Point,us6000453g,green,2.0,6000453g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000453g&format=geojson,2.167,1.0,22.0,",us6000453g,",5.6,mb,5.558,us,,"227km W of Abepura, Indonesia",0.9,483,",us,",reviewed,1561351628607,"M 5.6 - 227km W of Abepura, Indonesia",1,earthquake,",dyfi,geoserve,losspager,origin,phase-data,shakemap,",540,1562557616568,https://earthquake.usgs.gov/earthquakes/eventpage/us6000453g,Feature
31,"[129.178, -6.4149, 206.17]",Point,us60004514,,,60004514,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60004514&format=geojson,2.618,,35.0,",us60004514,",5.2,mb,,us,,"290km NW of Saumlaki, Indonesia",0.99,416,",us,",reviewed,1561346905194,"M 5.2 - 290km NW of Saumlaki, Indonesia",0,earthquake,",geoserve,origin,phase-data,",540,1562553244040,https://earthquake.usgs.gov/earthquakes/eventpage/us60004514,Feature
32,"[129.1692, -6.4078, 212]",Point,us600044zz,green,4.1,600044zz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044zz&format=geojson,2.629,323.0,16.0,",at00ptl1dg,pt19175001,us600044zz,",7.3,mww,5.64,us,,"292km NW of Saumlaki, Indonesia",1.08,952,",at,pt,us,",reviewed,1561344819830,"M 7.3 - 292km NW of Saumlaki, Indonesia",1,earthquake,",dyfi,general-text,geoserve,ground-failure,impact-link,losspager,moment-tensor,origin,phase-data,poster,shakemap,",540,1562441269867,https://earthquake.usgs.gov/earthquakes/eventpage/us600044zz,Feature
33,"[138.4743, -2.6685, 10]",Point,us600044zy,,3.4,600044zy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044zy&format=geojson,2.233,1.0,29.0,",us600044zy,",5.1,mb,,us,,"234km W of Abepura, Indonesia",1.11,400,",us,",reviewed,1561344485911,"M 5.1 - 234km W of Abepura, Indonesia",1,earthquake,",dyfi,geoserve,origin,phase-data,",540,1562201852086,https://earthquake.usgs.gov/earthquakes/eventpage/us600044zy,Feature
34,"[138.5035, -2.6516, 10]",Point,us600044zx,,,600044zx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044zx&format=geojson,2.202,,22.0,",us600044zx,",5.3,mb,,us,,"231km W of Abepura, Indonesia",1.05,432,",us,",reviewed,1561344235163,"M 5.3 - 231km W of Abepura, Indonesia",1,earthquake,",geoserve,origin,phase-data,",540,1562201487040,https://earthquake.usgs.gov/earthquakes/eventpage/us600044zx,Feature
35,"[138.5828, -2.6586, 10]",Point,us600044za,,3.4,600044za,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044za&format=geojson,2.124,1.0,33.0,",us600044za,",5.1,mww,,us,,"222km W of Abepura, Indonesia",0.84,400,",us,",reviewed,1561339717015,"M 5.1 - 222km W of Abepura, Indonesia",1,earthquake,",dyfi,geoserve,moment-tensor,origin,phase-data,",540,1562190489983,https://earthquake.usgs.gov/earthquakes/eventpage/us600044za,Feature
36,"[138.61, -2.6662, 10]",Point,us600044z9,,,600044z9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044z9&format=geojson,2.097,,40.0,",us600044z9,",5.0,mb,,us,,"219km W of Abepura, Indonesia",0.84,385,",us,",reviewed,1561339366816,"M 5.0 - 219km W of Abepura, Indonesia",1,earthquake,",geoserve,origin,phase-data,",540,1562189737040,https://earthquake.usgs.gov/earthquakes/eventpage/us600044z9,Feature
37,"[138.5675, -2.7756, 28]",Point,us600044z4,green,7.0,600044z4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044z4&format=geojson,2.15,7.0,19.0,",us600044z4,",6.1,mww,6.042,us,,"224km W of Abepura, Indonesia",1.1,577,",us,",reviewed,1561338329464,"M 6.1 - 224km W of Abepura, Indonesia",1,earthquake,",dyfi,geoserve,ground-failure,losspager,moment-tensor,origin,phase-data,shakemap,",540,1562189418437,https://earthquake.usgs.gov/earthquakes/eventpage/us600044z4,Feature
38,"[140.0177, 34.9298, 43.72]",Point,us600044yu,,6.0,600044yu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044yu&format=geojson,1.53,271.0,18.0,",us600044yu,",5.3,mww,,us,,"15km ESE of Tateyama, Japan",0.72,595,",us,",reviewed,1561335104822,"M 5.3 - 15km ESE of Tateyama, Japan",0,earthquake,",dyfi,geoserve,moment-tensor,origin,phase-data,",540,1563090876573,https://earthquake.usgs.gov/earthquakes/eventpage/us600044yu,Feature
39,"[-177.555, -30.9241, 35]",Point,us600044sr,,,600044sr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044sr&format=geojson,1.704,,70.0,",us600044sr,",5.3,mww,,us,,"140km ENE of L'Esperance Rock, New Zealand",0.72,432,",us,",reviewed,1561272732579,"M 5.3 - 140km ENE of L'Esperance Rock, New Zealand",0,earthquake,",geoserve,origin,phase-data,",-720,1561273972040,https://earthquake.usgs.gov/earthquakes/eventpage/us600044sr,Feature
40,"[-124.3003333, 40.2735, 9.44]",Point,nc73201181,green,6.6,73201181,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73201181&format=geojson,0.03116,2852.0,159.0,",at00ptj9ge,nc73201181,us600044rh,",5.58,mw,7.44,nc,34.0,"6km SSW of Petrolia, CA",0.17,1139,",at,nc,us,",reviewed,1561261982890,"M 5.6 - 6km SSW of Petrolia, CA",1,earthquake,",dyfi,focal-mechanism,geoserve,ground-failure,impact-link,losspager,moment-tensor,nearby-cities,oaf,origin,phase-data,scitech-link,shakemap,",-480,1563311749901,https://earthquake.usgs.gov/earthquakes/eventpage/nc73201181,Feature
41,"[-92.9538, 14.3979, 17]",Point,us600044qf,green,2.0,600044qf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044qf&format=geojson,0.837,3.0,86.0,",us600044qf,",5.6,mww,3.679,us,,"67km WSW of Puerto Madero, Mexico",0.98,483,",us,",reviewed,1561242694962,"M 5.6 - 67km WSW of Puerto Madero, Mexico",0,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",-360,1562991107079,https://earthquake.usgs.gov/earthquakes/eventpage/us600044qf,Feature
42,"[171.4953, -17.0483, 10]",Point,us600044pb,,,600044pb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044pb&format=geojson,4.419,,61.0,",us600044pb,",5.0,mww,,us,,Vanuatu region,0.56,385,",us,",reviewed,1561228473693,M 5.0 - Vanuatu region,0,earthquake,",geoserve,origin,phase-data,",660,1561322655040,https://earthquake.usgs.gov/earthquakes/eventpage/us600044pb,Feature
43,"[104.8963, 28.4545, 10]",Point,us600044mq,yellow,5.8,600044mq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044mq&format=geojson,15.954,24.0,79.0,",us600044mq,",5.3,mww,6.487,us,,"13km S of Changning, China",0.87,664,",us,",reviewed,1561213795811,"M 5.3 - 13km S of Changning, China",0,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",480,1562930641884,https://earthquake.usgs.gov/earthquakes/eventpage/us600044mq,Feature
44,"[-128.402, 43.939, 10]",Point,us600044ly,green,4.1,600044ly,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044ly&format=geojson,3.15,4.0,169.0,",us600044ly,",5.4,mww,0.0,us,,Off the coast of Oregon,1.12,450,",us,",reviewed,1561208417184,M 5.4 - Off the coast of Oregon,0,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",-540,1561746467040,https://earthquake.usgs.gov/earthquakes/eventpage/us600044ly,Feature
45,"[-128.3442, 43.7967, 10]",Point,us600044lu,green,2.7,600044lu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044lu&format=geojson,3.068,5.0,169.0,",at00pti3qv,us600044lu,",5.4,mww,0.0,us,,Off the coast of Oregon,0.73,450,",at,us,",reviewed,1561207922579,M 5.4 - Off the coast of Oregon,1,earthquake,",dyfi,geoserve,impact-link,losspager,moment-tensor,origin,phase-data,shakemap,",-540,1562218160520,https://earthquake.usgs.gov/earthquakes/eventpage/us600044lu,Feature
46,"[-128.487, 43.8509, 10]",Point,us600044lt,,2.1,600044lt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044lt&format=geojson,3.182,3.0,185.0,",us600044lt,",5.0,mww,,us,,Off the coast of Oregon,0.94,385,",us,",reviewed,1561207422375,M 5.0 - Off the coast of Oregon,0,earthquake,",dyfi,geoserve,moment-tensor,origin,phase-data,",-540,1561747605040,https://earthquake.usgs.gov/earthquakes/eventpage/us600044lt,Feature
47,"[-173.9964, -21.2915, 10]",Point,us600044it,,,600044it,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044it&format=geojson,7.64,,99.0,",us600044it,",5.0,mb,,us,,"99km E of `Ohonua, Tonga",0.61,385,",us,",reviewed,1561160082375,"M 5.0 - 99km E of `Ohonua, Tonga",0,earthquake,",geoserve,origin,phase-data,",-720,1561196113981,https://earthquake.usgs.gov/earthquakes/eventpage/us600044it,Feature
48,"[-176.8325, -30.7334, 10]",Point,us600044ig,,,600044ig,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044ig&format=geojson,1.762,,218.0,",us600044ig,",5.1,mb,,us,,"192km SSE of Raoul Island, New Zealand",0.78,400,",us,",reviewed,1561158022480,"M 5.1 - 192km SSE of Raoul Island, New Zealand",0,earthquake,",geoserve,origin,phase-data,",-720,1561158800040,https://earthquake.usgs.gov/earthquakes/eventpage/us600044ig,Feature
49,"[-177.5006, -30.7423, 10]",Point,us600044ie,,,600044ie,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600044ie&format=geojson,1.537,,75.0,",us600044ie,",5.1,mb,,us,,"153km ENE of L'Esperance Rock, New Zealand",0.83,400,",us,",reviewed,1561157365464,"M 5.1 - 153km ENE of L'Esperance Rock, New Zealand",0,earthquake,",geoserve,origin,phase-data,",-720,1561158305040,https://earthquake.usgs.gov/earthquakes/eventpage/us600044ie,Feature
50,"[-177.5218, -30.8528, 10]",Point,us700046sk,,,700046sk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700046sk&format=geojson,1.64,,81.0,",us700046sk,",5.1,mb,,us,,"146km ENE of L'Esperance Rock, New Zealand",0.77,400,",us,",reviewed,1561106438272,"M 5.1 - 146km ENE of L'Esperance Rock, New Zealand",0,earthquake,",geoserve,origin,phase-data,",-720,1563360152040,https://earthquake.usgs.gov/earthquakes/eventpage/us700046sk,Feature
51,"[-177.4658, -30.8598, 14]",Point,us6000444m,green,,6000444m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000444m&format=geojson,1.658,,29.0,",us6000444m,",6.3,mww,0.0,us,,"150km ENE of L'Esperance Rock, New Zealand",0.74,611,",us,",reviewed,1561106236951,"M 6.3 - 150km ENE of L'Esperance Rock, New Zealand",0,earthquake,",geoserve,ground-failure,losspager,moment-tensor,origin,phase-data,shakemap,",-720,1563359506165,https://earthquake.usgs.gov/earthquakes/eventpage/us6000444m,Feature
52,"[-177.5625, -31.0368, 13.96]",Point,us6000443w,,,6000443w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000443w&format=geojson,1.813,,45.0,",us6000443w,",5.1,mww,,us,,"134km ENE of L'Esperance Rock, New Zealand",0.77,400,",us,",reviewed,1561102060122,"M 5.1 - 134km ENE of L'Esperance Rock, New Zealand",0,earthquake,",geoserve,origin,phase-data,",-720,1563356872040,https://earthquake.usgs.gov/earthquakes/eventpage/us6000443w,Feature
53,"[149.7795, -6.0722, 54.72]",Point,us60004438,,,60004438,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60004438&format=geojson,3.021,,63.0,",us60004438,",5.3,mww,,us,,"30km ENE of Kandrian, Papua New Guinea",1.11,432,",us,",reviewed,1561099109452,"M 5.3 - 30km ENE of Kandrian, Papua New Guinea",1,earthquake,",geoserve,origin,phase-data,",600,1563356424040,https://earthquake.usgs.gov/earthquakes/eventpage/us60004438,Feature
