name_model,description,owner,price,license,published_date,formats_available,list_categories,links_categories,list_tags,links_tags
Pouf stool ,"This model was created for an art challenge and employment program.Includes textures, PBR materials, HDRI lighting.Textures are from: texturehavenHDRI: hdrihaven",folkvangr,Free, - All Extended Uses,2019-07-19,Unknown,Unknown,Unknown,"['leather', 'furniture', 'seat', 'decor', 'stool', 'other']","['https://www.turbosquid.com/Search/3D-Models/leather', 'https://www.turbosquid.com/Search/3D-Models/furniture', 'https://www.turbosquid.com/Search/3D-Models/seat', 'https://www.turbosquid.com/Search/3D-Models/decor', 'https://www.turbosquid.com/Search/3D-Models/stool', 'https://www.turbosquid.com/Search/3D-Models/other']"
Indoor test ,"Indoors test scene made with Blender 2.8.It comes with PBR textures, HDRI lighting, low-poly objects and a rigged/animated character.Textures are from: texturehavenHDRI: hdrihaven",folkvangr,Free, - All Extended Uses,2019-07-19,Unknown,Unknown,Unknown,"['indoors', 'room', 'furniture', 'seat', 'wood', 'chair', 'minimalist', 'comfort', 'contemporary', 'rig', 'architectural', 'other']","['https://www.turbosquid.com/Search/3D-Models/indoors', 'https://www.turbosquid.com/Search/3D-Models/room', 'https://www.turbosquid.com/Search/3D-Models/furniture', 'https://www.turbosquid.com/Search/3D-Models/seat', 'https://www.turbosquid.com/Search/3D-Models/wood', 'https://www.turbosquid.com/Search/3D-Models/chair', 'https://www.turbosquid.com/Search/3D-Models/minimalist', 'https://www.turbosquid.com/Search/3D-Models/comfort', 'https://www.turbosquid.com/Search/3D-Models/contemporary', 'https://www.turbosquid.com/Search/3D-Models/rig', 'https://www.turbosquid.com/Search/3D-Models/architectural', 'https://www.turbosquid.com/Search/3D-Models/other']"
Apartment basic floor plan,"This is a simple architecture test scene made with Blender 2.8.It comes with PBR textures, HDRI lighting, low-poly objects, unique glass material.Textures are from: texturehavenHDRI: hdrihaven",folkvangr,Free, - All Extended Uses,2019-07-19,Unknown,Unknown,Unknown,"['flat', 'apartment', 'household', 'building', 'kitchen', 'bathroom', 'bedroom', 'living-room', 'floor', 'window']","['https://www.turbosquid.com/Search/3D-Models/flat', 'https://www.turbosquid.com/Search/3D-Models/apartment', 'https://www.turbosquid.com/Search/3D-Models/household', 'https://www.turbosquid.com/Search/3D-Models/building', 'https://www.turbosquid.com/Search/3D-Models/kitchen', 'https://www.turbosquid.com/Search/3D-Models/bathroom', 'https://www.turbosquid.com/Search/3D-Models/bedroom', 'https://www.turbosquid.com/Search/3D-Models/living-room', 'https://www.turbosquid.com/Search/3D-Models/floor', 'https://www.turbosquid.com/Search/3D-Models/window']"
Coffee cup,- Ceramic coffee cup with plate -This model consists of a high-detailed ceramic coffee cup with plate.Blender zip (.blend):- Version v2.80.74- 1 complete scene- Cycles render versionObj zip:- Object with simple materials- Subdivision (exported at Level 3)Collada zip:- Object with simple materials- No subdivision (exported at Level 0)Fbx zip:- Object with simple materials- Subdivision (exported at Level 3),OemThr,Free, - All Extended Uses,2019-07-19,"['OBJ ', 'FBX ', 'Collada ']","['3D Model', 'interior design', 'housewares', 'dining room housewares', 'glassware', 'coffee cup']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/housewares', 'https://www.turbosquid.com/3d-model/dining-room-housewares', 'https://www.turbosquid.com/3d-model/glassware', 'https://www.turbosquid.com/3d-model/coffee-cup']","['coffee', 'dinner', 'breakfast', 'cup', 'plate', 'porcelain', 'bavaria', 'tea', 'home', 'furniture', 'furnishing', 'pot', 'ceramic', 'milk']","['https://www.turbosquid.com/Search/3D-Models/coffee', 'https://www.turbosquid.com/Search/3D-Models/dinner', 'https://www.turbosquid.com/Search/3D-Models/breakfast', 'https://www.turbosquid.com/Search/3D-Models/cup', 'https://www.turbosquid.com/Search/3D-Models/plate', 'https://www.turbosquid.com/Search/3D-Models/porcelain', 'https://www.turbosquid.com/Search/3D-Models/bavaria', 'https://www.turbosquid.com/Search/3D-Models/tea', 'https://www.turbosquid.com/Search/3D-Models/home', 'https://www.turbosquid.com/Search/3D-Models/furniture', 'https://www.turbosquid.com/Search/3D-Models/furnishing', 'https://www.turbosquid.com/Search/3D-Models/pot', 'https://www.turbosquid.com/Search/3D-Models/ceramic', 'https://www.turbosquid.com/Search/3D-Models/milk']"
Man headsculpt ,Just a sculpting/texturing practice I did.,Vertici,Free, - All Extended Uses,2019-07-19,Unknown,Unknown,Unknown,"['Head', 'man', 'male', 'human']","['https://www.turbosquid.com/Search/3D-Models/head', 'https://www.turbosquid.com/Search/3D-Models/man', 'https://www.turbosquid.com/Search/3D-Models/male', 'https://www.turbosquid.com/Search/3D-Models/human']"
Blue low poly car ,"free 3d obj and Maya please give me. feedback, was made with a lot of love",Andres_R26,Free, - All Extended Uses,2019-07-19,['Other '],Unknown,Unknown,"['low', 'poly', 'car', 'blue']","['https://www.turbosquid.com/Search/3D-Models/low', 'https://www.turbosquid.com/Search/3D-Models/poly', 'https://www.turbosquid.com/Search/3D-Models/car', 'https://www.turbosquid.com/Search/3D-Models/blue']"
Bath house architecture test ,"This is a simple architecture test scene made with Blender 2.8.It comes with PBR textures, HDRI lighting, low-poly objects, physics affected grass and fluid simulation.Textures are from: texturehavenHDRI: hdrihaven",folkvangr,Free, - All Extended Uses,2019-07-18,Unknown,Unknown,Unknown,"['column', 'architecture', 'marble', 'bedrock', 'roman', 'bath', 'classic', 'architectural', 'other']","['https://www.turbosquid.com/Search/3D-Models/column', 'https://www.turbosquid.com/Search/3D-Models/architecture', 'https://www.turbosquid.com/Search/3D-Models/marble', 'https://www.turbosquid.com/Search/3D-Models/bedrock', 'https://www.turbosquid.com/Search/3D-Models/roman', 'https://www.turbosquid.com/Search/3D-Models/bath', 'https://www.turbosquid.com/Search/3D-Models/classic', 'https://www.turbosquid.com/Search/3D-Models/architectural', 'https://www.turbosquid.com/Search/3D-Models/other']"
Motorola moto g7 plus blue and red ,"Detailed High definition model Xiaomi Redmi 7A Matte Gold.The main format is 3ds max 2011.max, also available in many formats.And click on my username ES_3D And See More Quality Models And Collections .Available in the following file formats:- 3ds Max with mental ray materials (.max)- 3ds Max with V-Ray materials (.max)- 3ds Max with Scanline materials (.max)- 3D Studio (.3ds)- FBX (.fbx)- Geometry: 3ds Max version (For Each)- In formats 3ds Max 2011 , 3ds , OBJ, FBX , VMRL , Mental ray, Default Scanline Renderer, - model exported to standard materials (textures), not contain V-Ray shaders.In these formats, shaders need to be edited for the new studio for the final rendering.- High quality textures,and high resolution renders.- fbx formats contains medium high-poly.- 3ds and obj format comes from low poly.- Every part of the model is named properly- Model is placed to 0,0,0 scene coordinates.- 3ds Max 2011 and all higher versions.- all textures included separately for all formats into each zipped folder.- Other formats may vary slightly depending on your software.- You can make the poly count higher by the MeshSmooth and TurboSmooth level.- Includes V-Ray materials and textures only in 3ds Max format.- A file without V-Ray shader is included with standard materials.- The .3ds and .obj formats are geometry with texture mapping coordinates. No materials attached.- Textures format JPEG.- No object missing,- 3ds Max files included Standard materials and V-Ray materials.- This 3d model objects have the correct names and stripped the texture paths.- NOTE: V-Ray is required for the V-Ray 3ds Max scene and Studio setup is not included.- I hope you will like all my products. Thanks for buying.",ES_3D,Free, - Editorial Uses AllowedExtended Uses May Need Clearances,2019-07-18,"['3D Studio', '2011\n', 'FBX 2011', 'OBJ 2011', 'VRML 2011']","['3D Model', 'technology', 'phone', 'cellphone', 'smartphone']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/technology', 'https://www.turbosquid.com/3d-model/phone', 'https://www.turbosquid.com/3d-model/cellphone', 'https://www.turbosquid.com/3d-model/smartphone']","['3d', 'model', '3ds', 'max', 'Motorola', 'Moto', 'G7', 'Plus', 'Blue', 'And', 'Red', 'electronic', 'phone', 'cellular', 'computer', 'pda', 'andriod', 'best', 'top', 'rated', 'vray', 'hdr', 'studio', 'download', 'ES_3D']","['https://www.turbosquid.com/Search/3D-Models/3d', 'https://www.turbosquid.com/Search/3D-Models/model', 'https://www.turbosquid.com/Search/3D-Models/3ds', 'https://www.turbosquid.com/Search/3D-Models/max', 'https://www.turbosquid.com/Search/3D-Models/motorola', 'https://www.turbosquid.com/Search/3D-Models/moto', 'https://www.turbosquid.com/Search/3D-Models/g7', 'https://www.turbosquid.com/Search/3D-Models/plus', 'https://www.turbosquid.com/Search/3D-Models/blue', 'https://www.turbosquid.com/Search/3D-Models/and', 'https://www.turbosquid.com/Search/3D-Models/red', 'https://www.turbosquid.com/Search/3D-Models/electronic', 'https://www.turbosquid.com/Search/3D-Models/phone', 'https://www.turbosquid.com/Search/3D-Models/cellular', 'https://www.turbosquid.com/Search/3D-Models/computer', 'https://www.turbosquid.com/Search/3D-Models/pda', 'https://www.turbosquid.com/Search/3D-Models/andriod', 'https://www.turbosquid.com/Search/3D-Models/best', 'https://www.turbosquid.com/Search/3D-Models/top', 'https://www.turbosquid.com/Search/3D-Models/rated', 'https://www.turbosquid.com/Search/3D-Models/vray', 'https://www.turbosquid.com/Search/3D-Models/hdr', 'https://www.turbosquid.com/Search/3D-Models/studio', 'https://www.turbosquid.com/Search/3D-Models/download', 'https://www.turbosquid.com/Search/3D-Models/es_3d']"
Lighting,,w1050263,Free, - All Extended Uses,2019-07-18,"['3D Studio', 'OBJ ', 'FBX ', 'Other ']","['3D Model', 'interior design', 'fixtures', 'lighting', 'lamp', 'home spotlight']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/fixtures', 'https://www.turbosquid.com/3d-model/lighting', 'https://www.turbosquid.com/3d-model/lamp', 'https://www.turbosquid.com/3d-model/spotlight-home']","['#lighting', '#light', 'bulb', '#firelight']","['https://www.turbosquid.com/Search/3D-Models/%23lighting', 'https://www.turbosquid.com/Search/3D-Models/%23light', 'https://www.turbosquid.com/Search/3D-Models/bulb', 'https://www.turbosquid.com/Search/3D-Models/%23firelight']"
Office chair ,"**office chair** with vray material ready to put in scene , with vray materials ready to render in the scene and with vray light  polygons almost equal  344vertices almost equal 286",Esraa abdelsalam2711,Free, - All Extended Uses,2019-07-17,"['3D Studio', 'Collada ', 'FBX ', 'OBJ ', 'Other ']","['3D Model', 'furnishings', 'seating', 'chair', 'office chair', 'conference room chair']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/seating', 'https://www.turbosquid.com/3d-model/chair', 'https://www.turbosquid.com/3d-model/office-chair', 'https://www.turbosquid.com/3d-model/conference-room-chair']","['#chair', '#office', '#modern', '#3dsmax', '#3dmodeling', '#blue', '#smooth', '#lowvertices', '#render', '#vray', '#vraymtl', '#light']","['https://www.turbosquid.com/Search/3D-Models/%23chair', 'https://www.turbosquid.com/Search/3D-Models/%23office', 'https://www.turbosquid.com/Search/3D-Models/%23modern', 'https://www.turbosquid.com/Search/3D-Models/%233dsmax', 'https://www.turbosquid.com/Search/3D-Models/%233dmodeling', 'https://www.turbosquid.com/Search/3D-Models/%23blue', 'https://www.turbosquid.com/Search/3D-Models/%23smooth', 'https://www.turbosquid.com/Search/3D-Models/%23lowvertices', 'https://www.turbosquid.com/Search/3D-Models/%23render', 'https://www.turbosquid.com/Search/3D-Models/%23vray', 'https://www.turbosquid.com/Search/3D-Models/%23vraymtl', 'https://www.turbosquid.com/Search/3D-Models/%23light']"
Free garden urn planter,"* This Urn is a high quality polygonal model with reel scale and placed in the center. It's suitable for high-quality close-up renders.* The model and the textures are properly named.* The model is correctly uv unwrapped with well hidden seams fully textured and properly named.* Three textures are included marble, concrete and grunge in png format.* Each texture is associate with a color, roughness and normal map in 4096 resolution.* The model is made with blender and rendered in eevee.* The model is ready for import into any project and ready to render as seen in previews.* No special plugin needed to open scene.Product dimensions:Height: 30cm  Width: 32.7cm  Length: 37.5cm  File Formats:- blender- OBJ- FBX- COLLADA-Feel free to browse my other models by clicking on my user name.I hope it meets your expectations.",wave design,Free, - All Extended Uses,2019-07-17,"['OBJ ', 'FBX ', 'Collada ']","['3D Model', 'interior design', 'housewares', 'general decor', 'planter']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/housewares', 'https://www.turbosquid.com/3d-model/general-decor', 'https://www.turbosquid.com/3d-model/planter']","['Urn', 'Planter', 'Vase', 'Garden', 'pot', 'decor', 'Decoration', 'plant', 'Classic', 'Marble', 'concrete', 'grunge', 'Vintage', 'Antique', 'Outdoor']","['https://www.turbosquid.com/Search/3D-Models/urn', 'https://www.turbosquid.com/Search/3D-Models/planter', 'https://www.turbosquid.com/Search/3D-Models/vase', 'https://www.turbosquid.com/Search/3D-Models/garden', 'https://www.turbosquid.com/Search/3D-Models/pot', 'https://www.turbosquid.com/Search/3D-Models/decor', 'https://www.turbosquid.com/Search/3D-Models/decoration', 'https://www.turbosquid.com/Search/3D-Models/plant', 'https://www.turbosquid.com/Search/3D-Models/classic', 'https://www.turbosquid.com/Search/3D-Models/marble', 'https://www.turbosquid.com/Search/3D-Models/concrete', 'https://www.turbosquid.com/Search/3D-Models/grunge', 'https://www.turbosquid.com/Search/3D-Models/vintage', 'https://www.turbosquid.com/Search/3D-Models/antique', 'https://www.turbosquid.com/Search/3D-Models/outdoor']"
Table,"OBJ, FBX, DAE files of an unwrapped 3D object with materials already on it. Feel free to change the material to whatever you like.",shara_d,Free, - All Extended Uses,2019-07-14,"['FBX ', 'Collada ', 'OBJ ']","['3D Model', 'furnishings', 'table']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/table']","['Table', 'Home', 'Decor', 'Kitchen', 'TableLegs', 'Unwrapped']","['https://www.turbosquid.com/Search/3D-Models/table', 'https://www.turbosquid.com/Search/3D-Models/home', 'https://www.turbosquid.com/Search/3D-Models/decor', 'https://www.turbosquid.com/Search/3D-Models/kitchen', 'https://www.turbosquid.com/Search/3D-Models/tablelegs', 'https://www.turbosquid.com/Search/3D-Models/unwrapped']"
Metal containers,Metal Containers3D Model Ready for Games. PBR Materials.Textures in 4KUV Map.Formats:3Ds MaxLightWaveBlenderObj+MtlBest Regards.Adrian,Adrian Kulawik,Free, - All Extended Uses,2019-07-17,['OBJ 2019'],"['3D Model', 'industrial', 'industrial container', 'cargo container']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/industrial', 'https://www.turbosquid.com/3d-model/industrial-container', 'https://www.turbosquid.com/3d-model/cargo-container']","['metal', 'container', 'mars', 'kitbash', 'modular', 'procedural', 'art', 'design', 'pbr', 'materials', '3d', 'lightwave', '3ds', 'max', 'blender', 'modo', 'maya', 'arch', 'viz', 'game', 'ready', '4k', 'uv']","['https://www.turbosquid.com/Search/3D-Models/metal', 'https://www.turbosquid.com/Search/3D-Models/container', 'https://www.turbosquid.com/Search/3D-Models/mars', 'https://www.turbosquid.com/Search/3D-Models/kitbash', 'https://www.turbosquid.com/Search/3D-Models/modular', 'https://www.turbosquid.com/Search/3D-Models/procedural', 'https://www.turbosquid.com/Search/3D-Models/art', 'https://www.turbosquid.com/Search/3D-Models/design', 'https://www.turbosquid.com/Search/3D-Models/pbr', 'https://www.turbosquid.com/Search/3D-Models/materials', 'https://www.turbosquid.com/Search/3D-Models/3d', 'https://www.turbosquid.com/Search/3D-Models/lightwave', 'https://www.turbosquid.com/Search/3D-Models/3ds', 'https://www.turbosquid.com/Search/3D-Models/max', 'https://www.turbosquid.com/Search/3D-Models/blender', 'https://www.turbosquid.com/Search/3D-Models/modo', 'https://www.turbosquid.com/Search/3D-Models/maya', 'https://www.turbosquid.com/Search/3D-Models/arch', 'https://www.turbosquid.com/Search/3D-Models/viz', 'https://www.turbosquid.com/Search/3D-Models/game', 'https://www.turbosquid.com/Search/3D-Models/ready', 'https://www.turbosquid.com/Search/3D-Models/4k', 'https://www.turbosquid.com/Search/3D-Models/uv']"
Coffee machine,"Saved as 3ds max 2015 version file.As you work in 3D, the input image source and HDRI are attached as additional files.I used a v-ray renderer.Thank you for your interest. thank you.-------------------------------------------------- -------------* coffee machine 2015.max (3ds max)* coffee machine.3DS* coffee machine.obj* coffee machine.fbx* source (image and HDRI folder) .zip",w1050263,Free, - All Extended Uses,2019-07-17,"['OBJ ', '3D Studio', 'FBX ', 'Other ']","['3D Model', 'interior design', 'appliance', 'commercial appliance', 'vending machine', 'coffee vending machine']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/appliance', 'https://www.turbosquid.com/3d-model/commercial-appliance', 'https://www.turbosquid.com/3d-model/vending-machine', 'https://www.turbosquid.com/3d-model/coffee-vending-machine']","['#coffee', '#machine', '#vending', 'machine']","['https://www.turbosquid.com/Search/3D-Models/%23coffee', 'https://www.turbosquid.com/Search/3D-Models/%23machine', 'https://www.turbosquid.com/Search/3D-Models/%23vending', 'https://www.turbosquid.com/Search/3D-Models/machine']"
