aliases,allegiances,books,born,culture,died,father,gender,mother,name,playedBy,povBooks,spouse,titles,tvSeries,url
"['Balon the Brave', 'Balon the Blessed', 'Balon the Twice Crowned', 'Balon the Widowmaker', 'The Kraken King']",[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,"299 AC, at Pyke",https://www.anapioficeandfire.com/api/characters/836,Male,,Balon Greyjoy,['Patrick Malahide'],[],https://www.anapioficeandfire.com/api/characters/66,"['Iron King', 'King of the Isles and the North', 'King of Salt and Rock', 'Son of the Sea Wind', 'Lord Reaper of Pyke', 'The Greyjoy', 'Captain of the Great Kraken']","['Season 2', 'Season 3', 'Season 6']",https://www.anapioficeandfire.com/api/characters/12
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3']",,,"In 299 AC, at Winterfell",,Male,,Chayle,[''],[],,['Septon'],[''],https://www.anapioficeandfire.com/api/characters/13
['Has no known aliases'],[],['https://www.anapioficeandfire.com/api/books/5'],,,,,Male,,Gillam,[''],[],,['Brother'],[''],https://www.anapioficeandfire.com/api/characters/14
['The High Sparrow'],[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Male,,High Septon,['Jonathan Pryce'],[],,"['High Septon', 'His High Holiness', 'Father of the Faithful', 'Voice of the Seven on Earth']","['Season 5', 'Season 6']",https://www.anapioficeandfire.com/api/characters/15
"['The Little Queen', 'The Little Rose', 'Maid Margaery']",['https://www.anapioficeandfire.com/api/houses/398'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']","In 283 AC, at Highgarden",Westeros,,,Female,,Margaery Tyrell,['Natalie Dormer'],[],https://www.anapioficeandfire.com/api/characters/862,['Queen of the Seven Kingdoms'],"['Season 2', 'Season 3', 'Season 4', 'Season 5', 'Season 6']",https://www.anapioficeandfire.com/api/characters/16
['Has no known aliases'],[],['https://www.anapioficeandfire.com/api/books/5'],,,,,Female,,Melicent,[''],[],,['Septa'],[''],https://www.anapioficeandfire.com/api/characters/17
['Has no known aliases'],[],['https://www.anapioficeandfire.com/api/books/5'],"In 247 AC or 248 AC, at the riverlands",,,,Male,,Meribald,[''],[],,['Septon'],[''],https://www.anapioficeandfire.com/api/characters/18
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Female,,Moelle,[''],[],,['Septa'],[''],https://www.anapioficeandfire.com/api/characters/19
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/362'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3']",,,"In 298 AC, at King's Landing",,Female,,Mordane,['Susan Brown'],[],,['Septa'],['Season 1'],https://www.anapioficeandfire.com/api/characters/20
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Female,,Nysterica,[''],[],,['Septa'],[''],https://www.anapioficeandfire.com/api/characters/21
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Male,,Ollidor,[''],[],,['Septon'],[''],https://www.anapioficeandfire.com/api/characters/22
['Has no known aliases'],[],['https://www.anapioficeandfire.com/api/books/2'],,,,,Male,,Osmynd,[''],[],,['Septon'],[''],https://www.anapioficeandfire.com/api/characters/23
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Male,,Raynard,[''],[],,['Septon'],[''],https://www.anapioficeandfire.com/api/characters/24
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Female,,Scolera,[''],[],,['Septa'],[''],https://www.anapioficeandfire.com/api/characters/25
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Male,,Torbert,[''],[],,['Septon'],[''],https://www.anapioficeandfire.com/api/characters/26
"['The Lion of Lannister', 'The Old Lion', 'The Great Lion of the Rock']",['https://www.anapioficeandfire.com/api/houses/229'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",In 242 AC,,"In 300 AC, at King's Landing",,Male,,Tywin Lannister,['Charles Dance'],[],https://www.anapioficeandfire.com/api/characters/562,"['Lord of Casterly Rock', 'Shield of Lannisport', 'Warden of the West', 'Hand of the King', ""Savior of the City (of King's Landing)""]","['Season 1', 'Season 2', 'Season 3', 'Season 4']",https://www.anapioficeandfire.com/api/characters/27
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Female,,Unella,['Hannah Waddingham'],[],,['Septa'],"['Season 5', 'Season 6']",https://www.anapioficeandfire.com/api/characters/28
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/195'],['https://www.anapioficeandfire.com/api/books/4'],,,,,Male,,Abelar Hightower,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/29
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/143'],['https://www.anapioficeandfire.com/api/books/7'],,,,,Male,,Addam Frey,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/30
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/258'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Male,,Addam Marbrand,['B.J. Hogg'],[],,"['Ser', 'Commander of the City Watch']",['Season 1'],https://www.anapioficeandfire.com/api/characters/31
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/291'],['https://www.anapioficeandfire.com/api/books/6'],In 183 AC or 184 AC,,"In 196 AC, at Redgrass Field",,Male,,Addam Osgrey,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/32
['Addam of Hull'],"['https://www.anapioficeandfire.com/api/houses/378', 'https://www.anapioficeandfire.com/api/houses/407']","['https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/11']","In 114 AC, at Hull",Valyrian,"In 130 AC, at Tumbleton",,Male,,Addam Velaryon,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/33
['The Bastard of Cornfield'],['https://www.anapioficeandfire.com/api/houses/374'],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/11']",At Cornfield,,,,Male,,Addison Hill,[''],[],,"['Ser', 'Lord Commander of the Kingsguard']",[''],https://www.anapioficeandfire.com/api/characters/34
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/23'],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7']",In 184 AC,Valyrian,"In 196 AC, at Redgrass Field",,Male,,Aegon Blackfyre,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/35
['Jinglebell'],['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",In 249 AC (roughly),,"In 299 AC, at the Twins",,Male,,Aegon Frey,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/36
['Aegon Bloodborn'],['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In or between 253 AC and 272 AC,,,,Male,,Aegon Frey,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/37
"['Aegon the Conqueror', 'Aegon the Dragon', 'Aegon the Dragonlord']",[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/11']","27 BC, at Dragonstone",,"37 AC, at Dragonstone",https://www.anapioficeandfire.com/api/characters/59,Male,https://www.anapioficeandfire.com/api/characters/1070,Aegon I,[''],[],https://www.anapioficeandfire.com/api/characters/2071,"['King of All Westeros', 'Shield of His People', 'King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm', 'Lord of Dragonstone']",[''],https://www.anapioficeandfire.com/api/characters/38
"['Aegon the Elder', 'Aegon the Usurper']",[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']","107 AC, at King's Landing",,"131 AC, at King's Landing",https://www.anapioficeandfire.com/api/characters/1076,Male,https://www.anapioficeandfire.com/api/characters/76,Aegon II,[''],[],https://www.anapioficeandfire.com/api/characters/488,"['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']",[''],https://www.anapioficeandfire.com/api/characters/39
"['Aegon the Younger', 'Aegon the Dragonbane', 'Aegon the Unlucky', 'The Broken King']",[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']","120 AC, at Dragonstone",Valyrian,"157 AC, at King's Landing",https://www.anapioficeandfire.com/api/characters/269,Male,https://www.anapioficeandfire.com/api/characters/874,Aegon III,[''],[],https://www.anapioficeandfire.com/api/characters/1527,"['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']",[''],https://www.anapioficeandfire.com/api/characters/40
['Aegon the Unworthy'],[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/11']","135 AC, at King's Landing",,"184 AC, at King's Landing",,Male,,Aegon IV,[''],[],https://www.anapioficeandfire.com/api/characters/779,"['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']",[''],https://www.anapioficeandfire.com/api/characters/41
['Young Griff'],['https://www.anapioficeandfire.com/api/houses/378'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']","In 281 AC or 282 AC, at Dragonstone",Valyrian,"In 283 AC (Supposedly), at King's Landing",,Male,,Aegon Targaryen,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/42
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/378'],['https://www.anapioficeandfire.com/api/books/11'],In 26 AC,Valyrian,"In 43 AC, at Gods Eye",,Male,,Aegon Targaryen,[''],[],https://www.anapioficeandfire.com/api/characters/873,['Prince'],[''],https://www.anapioficeandfire.com/api/characters/43
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/378'],['https://www.anapioficeandfire.com/api/books/11'],,Valyrian,,,Male,,Aegon Targaryen,[''],[],,['Prince'],[''],https://www.anapioficeandfire.com/api/characters/44
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/378'],['https://www.anapioficeandfire.com/api/books/11'],In or between 50 AC and 59 AC,Valyrian,,,Male,,Aegon Targaryen,[''],[],,['Prince'],[''],https://www.anapioficeandfire.com/api/characters/45
"['Aegon the Unlikely', 'Aegon the Fortunate', 'The Prince Who Was An Eggg']",[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']","200 AC, at King's Landing",,"259 AC, at Summerhall",https://www.anapioficeandfire.com/api/characters/695,Male,https://www.anapioficeandfire.com/api/characters/334,Aegon V,[''],[],https://www.anapioficeandfire.com/api/characters/195,"['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']",[''],https://www.anapioficeandfire.com/api/characters/46
['Bittersteel'],"['https://www.anapioficeandfire.com/api/houses/23', 'https://www.anapioficeandfire.com/api/houses/37']","['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",In 172 AC,,"In 241 AC, at the Disputed Lands",,Male,,Aegor Rivers,[''],[],https://www.anapioficeandfire.com/api/characters/226,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/47
['Has no known aliases'],"['https://www.anapioficeandfire.com/api/houses/300', 'https://www.anapioficeandfire.com/api/houses/378']","['https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/11']",,Valyrian,,,Female,,Aelinor Penrose,[''],[],https://www.anapioficeandfire.com/api/characters/61,['Queen'],[''],https://www.anapioficeandfire.com/api/characters/48
['Has no known aliases'],"['https://www.anapioficeandfire.com/api/houses/7', 'https://www.anapioficeandfire.com/api/houses/378']","['https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",In 82 AC,,In 105 AC,,Female,,Aemma Arryn,[''],[],https://www.anapioficeandfire.com/api/characters/1076,['Queen'],[''],https://www.anapioficeandfire.com/api/characters/49
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/23'],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7']",In 184 AC,Valyrian,"In 196 AC, at Redgrass Field",,Male,,Aemon Blackfyre,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/50
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/83'],['https://www.anapioficeandfire.com/api/books/3'],,,,,Male,,Aemon Costayne,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/51
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/117'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,Stormlands,,,Male,,Aemon Estermont,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/52
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",,,,,Male,,Aemon Rivers,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/53
"['Aemon Targaryen', 'Maester Aemon', 'Uncle Maester']",[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8']","In 198 AC, at King's Landing",Valyrian,"In 300 AC, at the Cinnamon Wind, off the coast of Dorne, at the Summer Sea",,Male,,Aemon Targaryen,['Peter Vaughan'],[],,['Maester'],"['Season 1', 'Season 3', 'Season 4', 'Season 5']",https://www.anapioficeandfire.com/api/characters/54
['Aemond One-Eye Aemond the Kinslayer'],['https://www.anapioficeandfire.com/api/houses/378'],"['https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",In 110 AC,Valyrian,"In 130 AC, at the Gods Eye",,Male,,Aemond Targaryen,[''],[],,"['Prince', 'Protector of the Realm', 'Prince Regent']",[''],https://www.anapioficeandfire.com/api/characters/55
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In or between 240 AC and 247 AC,,"In 300 AC, at Near Winterfell",,Male,,Aenys Frey,[''],[],https://www.anapioficeandfire.com/api/characters/1045,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/56
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/11']","7 AC, at Dragonstone",,"42 AC, at Dragonstone",https://www.anapioficeandfire.com/api/characters/38,Male,https://www.anapioficeandfire.com/api/characters/1874,Aenys I,[''],[],https://www.anapioficeandfire.com/api/characters/110,"['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']",[''],https://www.anapioficeandfire.com/api/characters/57
"['Brightflame', 'Aerion the Monstrous', 'The Bright Prince', 'The Prince Who Thought He Was a Dragon']",['https://www.anapioficeandfire.com/api/houses/378'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",In or between 191 AC and 194 AC,Valyrian,In 232 AC,,Male,,Aerion Targaryen,[''],[],https://www.anapioficeandfire.com/api/characters/272,['Prince'],[''],https://www.anapioficeandfire.com/api/characters/58
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/378'],['https://www.anapioficeandfire.com/api/books/11'],At Dragonstone,Valyrian,At Dragonstone,,Male,,Aerion Targaryen,[''],[],https://www.anapioficeandfire.com/api/characters/1070,['Lord of Dragonstone'],[''],https://www.anapioficeandfire.com/api/characters/59
"['The Damphair', 'Aeron Damphair']",['https://www.anapioficeandfire.com/api/houses/169'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/8']","In or between 269 AC and 273 AC, at Pyke",Ironborn,,,Male,,Aeron Greyjoy,['Michael Feast'],['https://www.anapioficeandfire.com/api/books/5'],,"['Priest of the Drowned God', 'Captain of the Golden Storm (formerly)']",['Season 6'],https://www.anapioficeandfire.com/api/characters/60
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/11']","or between 172 AC and 176 AC, at King's Landing",,221 AC,https://www.anapioficeandfire.com/api/characters/274,Male,https://www.anapioficeandfire.com/api/characters/709,Aerys I,[''],[],https://www.anapioficeandfire.com/api/characters/48,"['King of the Andals, the Rhoynar, and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']",[''],https://www.anapioficeandfire.com/api/characters/61
"['The Mad King', 'King Scab']",[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']","244 AC, at King's Landing",,"283 AC, at the Red Keep in King's Landing",https://www.anapioficeandfire.com/api/characters/527,Male,https://www.anapioficeandfire.com/api/characters/971,Aerys II,['David Rintoul'],[],https://www.anapioficeandfire.com/api/characters/869,"['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']",['Season 6'],https://www.anapioficeandfire.com/api/characters/62
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Female,,Aglantine,[''],[],,['Septa'],[''],https://www.anapioficeandfire.com/api/characters/63
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/439'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3']",,Ironborn,"In 300 AC, at Bridge of Skulls",,Male,,Aladale Wynch,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/64
"[""Alan o' the Oak"", 'The Blind Bowman']",['https://www.anapioficeandfire.com/api/houses/443'],['https://www.anapioficeandfire.com/api/books/11'],In Age of Heroes,,,,Male,,Alan,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/65
['Lanny'],"['https://www.anapioficeandfire.com/api/houses/169', 'https://www.anapioficeandfire.com/api/houses/178']","['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,Ironborn,,,Female,,Alannys Harlaw,[''],[],https://www.anapioficeandfire.com/api/characters/12,['Queen of the Iron Islands'],[''],https://www.anapioficeandfire.com/api/characters/66
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/329'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Male,,Albar Royce,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/67
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/133'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",,,,,Male,,Alekyne Florent,[''],[],,['Lord of Brightwater (attainted)'],[''],https://www.anapioficeandfire.com/api/characters/68
['Has no known aliases'],"['https://www.anapioficeandfire.com/api/houses/195', 'https://www.anapioficeandfire.com/api/houses/398']","['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']","In or between 257 AC and 263 AC, at Oldtown",,,,Female,,Alerie Hightower,[''],[],https://www.anapioficeandfire.com/api/characters/691,['Lady of Highgarden'],[''],https://www.anapioficeandfire.com/api/characters/69
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",In or between 265 AC and 281 AC,,,,Male,,Alesander Frey,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/70
['the Pennylover'],['https://www.anapioficeandfire.com/api/houses/360'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",,,,,Male,,Alesander Staedmon,[''],[],,['Lord of Broad Arch'],[''],https://www.anapioficeandfire.com/api/characters/71
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/133'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/8']",At Brightwater Keep,,"In 300 AC, at Dragonstone",,Male,,Alester Florent,[''],[],https://www.anapioficeandfire.com/api/characters/738,"['Lord of Brightwater', 'Hand of the King']",[''],https://www.anapioficeandfire.com/api/characters/72
