champion,gameId,lane,platformId,queue,role,season,timestamp
15,3066435340,BOTTOM,NA1,420,DUO_CARRY,13,1560495114892
99,3066410845,BOTTOM,NA1,420,DUO_SUPPORT,13,1560493276769
99,3066408583,NONE,NA1,420,DUO,13,1560492657276
43,3066380200,BOTTOM,NA1,420,DUO_SUPPORT,13,1560490037040
43,3066352675,BOTTOM,NA1,420,DUO_SUPPORT,13,1560488082439
111,3066345794,NONE,NA1,420,DUO_SUPPORT,13,1560486525608
53,3066305746,BOTTOM,NA1,420,DUO_SUPPORT,13,1560484105673
15,3066275805,BOTTOM,NA1,420,DUO_CARRY,13,1560481580097
15,3066260783,NONE,NA1,420,DUO_SUPPORT,13,1560480218740
15,3065837396,BOTTOM,NA1,420,DUO_CARRY,13,1560469710178
15,3065855203,NONE,NA1,420,DUO,13,1560469173572
51,3065818577,BOTTOM,NA1,420,DUO_CARRY,13,1560467361187
